series,coating,arm,t,right,left
PEG_L1,PEG,large,0.0,10.059167861938477,7.828555583953857
PEG_L2,PEG,large,0.0,13.635123252868652,7.611896514892578
PEG_S1,PEG,small,0.0,6.754424571990967,6.392103672027588
PEG_S2,PEG,small,0.0,10.924081802368164,4.846458435058594
COOH_L1,COOH,large,0.0,13.425697326660156,5.5333170890808105
COOH_L2,COOH,large,0.0,9.227492332458496,8.600159645080566
COOH_S1,COOH,small,0.0,15.39737606048584,9.552027702331543
COOH_S2,COOH,small,0.0,11.40979290008545,11.004801750183105
PEG_control,PEG,control,0.0,6.9773759841918945,4.672320365905762
COOH_control,COOH,control,0.0,6.925363540649414,8.870914459228516
PEG_L3,PEG,large,0.0,14.487785339355469,3.58233642578125
PEG_S3,PEG,small,0.0,6.834831714630127,5.039363384246826
COOH_L3,COOH,large,0.0,11.25067138671875,5.086267948150635
COOH_S3,COOH,small,0.0,6.607417106628418,5.583381652832031
PEG_control,PEG,control,0.0,7.832427978515625,6.147836208343506
COOH_control,COOH,control,0.0,6.684986114501953,7.3343939781188965
PEG_L1,PEG,large,0.5,12.838371276855469,4.722258567810059
PEG_L2,PEG,large,0.5,17.998483657836914,6.621282577514648
PEG_S1,PEG,small,0.5,8.608007431030273,6.883571624755859
PEG_S2,PEG,small,0.5,14.133090019226074,3.4162111282348633
COOH_L1,COOH,large,0.5,20.349531173706055,5.718014717102051
COOH_L2,COOH,large,0.5,19.336872100830078,9.100488662719727
COOH_S1,COOH,small,0.5,14.426210403442383,10.02548599243164
COOH_S2,COOH,small,0.5,11.694676399230957,8.435211181640625
PEG_L3,PEG,large,0.5,16.37847900390625,3.978109836578369
PEG_S3,PEG,small,0.5,7.382781982421875,4.455803394317627
COOH_L3,COOH,large,0.5,12.256247520446777,3.811979055404663
COOH_S3,COOH,small,0.5,6.949321746826172,5.075470447540283
PEG_control,PEG,control,0.5,7.200162410736084,6.9836015701293945
COOH_control,COOH,control,0.5,6.86037540435791,7.17402458190918
PEG_L1,PEG,large,1.0,19.56707763671875,4.295905590057373
PEG_L2,PEG,large,1.0,24.447574615478516,5.864147663116455
PEG_S1,PEG,small,1.0,10.654852867126465,5.56516695022583
PEG_S2,PEG,small,1.0,17.009906768798828,3.2915005683898926
COOH_L1,COOH,large,1.0,22.82216453552246,4.510509967803955
COOH_L2,COOH,large,1.0,25.78870964050293,8.502755165100098
COOH_S1,COOH,small,1.0,16.455638885498047,8.727851867675781
COOH_S2,COOH,small,1.0,14.519920349121094,8.923927307128906
PEG_L3,PEG,large,1.0,18.852264404296875,3.416353702545166
PEG_S3,PEG,small,1.0,7.78717565536499,5.311245441436768
COOH_L3,COOH,large,1.0,17.751020431518555,2.892819881439209
COOH_S3,COOH,small,1.0,7.812880992889404,5.139034271240234
PEG_control,PEG,control,1.0,6.975541114807129,6.139051914215088
COOH_control,COOH,control,1.0,6.834410190582275,7.211600303649902
PEG_L1,PEG,large,1.5,28.45672035217285,3.483149766921997
PEG_L2,PEG,large,1.5,31.3786563873291,5.227045059204102
PEG_S1,PEG,small,1.5,14.977423667907715,6.045598983764648
PEG_S2,PEG,small,1.5,19.34351348876953,2.8089678287506104
COOH_L1,COOH,large,1.5,30.79863739013672,4.669205188751221
COOH_L2,COOH,large,1.5,32.20383834838867,6.274897575378418
COOH_S1,COOH,small,1.5,17.21098518371582,9.506162643432617
COOH_S2,COOH,small,1.5,17.142749786376953,8.856878280639648
PEG_L3,PEG,large,1.5,22.882118225097656,3.1775472164154053
PEG_S3,PEG,small,1.5,8.537395477294922,4.805262565612793
COOH_L3,COOH,large,1.5,26.208301544189453,2.5588691234588623
COOH_S3,COOH,small,1.5,8.182888984680176,4.862320423126221
PEG_control,PEG,control,1.5,7.147548675537109,6.619663715362549
COOH_control,COOH,control,1.5,5.938885688781738,7.216537952423096
PEG_L1,PEG,large,2.0,35.18547821044922,3.152959108352661
PEG_L2,PEG,large,2.0,35.81880569458008,5.035121440887451
PEG_S1,PEG,small,2.0,18.93826675415039,5.411409854888916
PEG_S2,PEG,small,2.0,25.572093963623047,4.315504550933838
COOH_L1,COOH,large,2.0,31.19156837463379,5.175119400024414
COOH_L2,COOH,large,2.0,40.86347579956055,7.077003479003906
COOH_S1,COOH,small,2.0,26.075706481933594,6.352447986602783
COOH_S2,COOH,small,2.0,21.11336898803711,7.2750349044799805
PEG_L3,PEG,large,2.0,25.32015037536621,3.264688730239868
PEG_S3,PEG,small,2.0,11.30357551574707,5.250762462615967
COOH_L3,COOH,large,2.0,31.123003005981445,2.129713773727417
COOH_S3,COOH,small,2.0,8.271828651428223,4.446722507476807
PEG_control,PEG,control,2.0,6.761065483093262,6.668198585510254
COOH_control,COOH,control,2.0,6.380438804626465,7.224971771240234
PEG_L1,PEG,large,2.5,41.032554626464844,3.2750751972198486
PEG_L2,PEG,large,2.5,41.210391998291016,4.628294467926025
PEG_S1,PEG,small,2.5,22.60077667236328,6.490850925445557
PEG_S2,PEG,small,2.5,27.166576385498047,3.815910577774048
COOH_L1,COOH,large,2.5,40.474952697753906,4.76154088973999
COOH_L2,COOH,large,2.5,45.30948257446289,7.5499372482299805
COOH_S1,COOH,small,2.5,24.181814193725586,7.119264602661133
COOH_S2,COOH,small,2.5,22.475746154785156,7.948367118835449
PEG_L3,PEG,large,2.5,26.639080047607422,3.693603515625
PEG_S3,PEG,small,2.5,12.357465744018555,5.259249687194824
COOH_L3,COOH,large,2.5,32.750850677490234,2.373711585998535
COOH_S3,COOH,small,2.5,8.915799140930176,4.193576335906982
PEG_control,PEG,control,2.5,6.448764801025391,6.687410354614258
COOH_control,COOH,control,2.5,6.285305500030518,7.781439781188965
PEG_L1,PEG,large,3.0,42.76517105102539,2.8203978538513184
PEG_L2,PEG,large,3.0,43.149539947509766,4.273065567016602
PEG_S1,PEG,small,3.0,23.436704635620117,6.697486400604248
PEG_S2,PEG,small,3.0,17.349681854248047,8.210994720458984
COOH_L1,COOH,large,3.0,44.21369934082031,5.384422779083252
COOH_L2,COOH,large,3.0,48.16075134277344,8.133233070373535
COOH_S1,COOH,small,3.0,25.55119514465332,8.074286460876465
COOH_S2,COOH,small,3.0,24.238555908203125,7.83478307723999
PEG_L3,PEG,large,3.0,26.34278106689453,2.922011613845825
PEG_S3,PEG,small,3.0,12.04052734375,4.933516502380371
COOH_L3,COOH,large,3.0,33.63711166381836,2.379227876663208
COOH_S3,COOH,small,3.0,10.9531888961792,4.715414524078369
PEG_control,PEG,control,3.0,6.4962477684021,7.591742515563965
COOH_control,COOH,control,3.0,5.550057888031006,7.653875350952148
PEG_L1,PEG,large,3.5,40.59125900268555,5.698944091796875
PEG_L2,PEG,large,3.5,44.63241195678711,5.083484649658203
PEG_S1,PEG,small,3.5,22.70686149597168,6.57018518447876
PEG_S2,PEG,small,3.5,28.641010284423828,11.050021171569824
COOH_L1,COOH,large,3.5,41.605045318603516,5.324942111968994
COOH_L2,COOH,large,3.5,50.7186393737793,7.168964385986328
COOH_S1,COOH,small,3.5,28.268741607666016,7.8541765213012695
COOH_S2,COOH,small,3.5,25.698719024658203,7.714210510253906
PEG_L3,PEG,large,3.5,26.348482131958008,2.9404397010803223
