geometry,perturb,idx,series,coating,arm,t,centroid_mag,d90_mag,nav_index
colour,False,0,PEG_L1,PEG,large,0.0,1.1742158771127362,2.3181673598092813,-0.2087053671791591
colour,False,1,PEG_L2,PEG,large,0.0,1.0089945860939915,2.4661525007039664,0.4579957609754893
colour,False,2,PEG_S1,PEG,small,0.0,0.6779441961397631,1.8362014828728457,0.2682509589963858
colour,False,3,PEG_S2,PEG,small,0.0,1.2624018200585694,2.643670133095708,0.0643697795465692
colour,False,4,COOH_L1,COOH,large,0.0,0.9247063232710226,2.030702892963218,-0.0928939434340527
colour,False,5,COOH_L2,COOH,large,0.0,0.8994320856070668,1.905103319416954,-0.3514268675033212
colour,False,6,COOH_S1,COOH,small,0.0,0.8350359238959038,1.7990923061236386,0.0859555317275148
colour,False,7,COOH_S2,COOH,small,0.0,1.048437073592139,2.2539399168006056,-0.5864986217962692
colour,False,8,PEG_L1,PEG,large,0.0,1.4507688956268352,3.0554635618558255,0.287265401743294
colour,False,9,PEG_L2,PEG,large,0.0,1.4869066262942552,3.2439684635829873,0.4591206076781134
colour,False,10,PEG_S1,PEG,small,0.0,0.8674389869847757,1.8752057512767968,0.0139977321563413
colour,False,11,PEG_S2,PEG,small,0.0,1.314668182220039,2.8039019727050447,0.2748296846283253
colour,False,12,COOH_L1,COOH,large,0.0,1.164268660561482,2.9489640767343213,0.4195088879601769
colour,False,13,COOH_L2,COOH,large,0.0,1.1032988870287563,2.720724687592247,0.2699462084160514
colour,False,14,COOH_S1,COOH,small,0.0,0.8176081672245002,1.7458692140416283,0.4040278101942103
colour,False,15,COOH_S2,COOH,small,0.0,1.0315081849021517,2.1806708848955596,0.1880342583994219
colour,False,16,PEG_L3,PEG,large,0.0,0.9766031632694974,2.015672530840581,-0.6007788927165262
colour,False,17,PEG_S3,PEG,small,0.0,0.9346069686759608,1.971440396151506,0.2981997966160145
colour,False,18,COOH_L3,COOH,large,0.0,1.1122467495488153,2.1718594719566835,-0.0714732752355421
