series,cond,coating,bsa,control,t,asym
PEG_BSA_r1,PEG_BSA,PEG,BSA,False,0.0,11.868474960327148
PEG_BSA_r2,PEG_BSA,PEG,BSA,False,0.0,7.391844272613525
PEG_BSA_r3,PEG_BSA,PEG,BSA,False,0.0,-1.5704560279846191
COOH_BSA_r2,COOH_BSA,COOH,BSA,False,0.0,6.382891654968262
COOH_BSA_r1,COOH_BSA,COOH,BSA,False,0.0,3.7971506118774414
COOH_BSA_r3,COOH_BSA,COOH,BSA,False,0.0,7.588172435760498
PEG_non-BSA_r1,PEG_non-BSA,PEG,non-BSA,False,0.0,-7.455814838409424
PEG_non-BSA_r2,PEG_non-BSA,PEG,non-BSA,False,0.0,-5.425594329833984
PEG_non-BSA_r3,PEG_non-BSA,PEG,non-BSA,False,0.0,-6.477772235870361
COOH_non-BSA_r1,COOH_non-BSA,COOH,non-BSA,False,0.0,0.3630843162536621
COOH_non-BSA_r3,COOH_non-BSA,COOH,non-BSA,False,0.0,1.186016321182251
COOH_non-BSA_r2,COOH_non-BSA,COOH,non-BSA,False,0.0,-1.9082789421081543
PEG_BSA_control,PEG_BSA,PEG,BSA,True,0.0,6.988985538482666
COOH_BSA_control,COOH_BSA,COOH,BSA,True,0.0,8.756372451782227
PEG_non-BSA_control,PEG_non-BSA,PEG,non-BSA,True,0.0,-4.725910186767578
COOH_non-BSA_control,COOH_non-BSA,COOH,non-BSA,True,0.0,-18.558387756347656
PEG_BSA_r1,PEG_BSA,PEG,BSA,False,0.5,17.292266845703125
PEG_BSA_r3,PEG_BSA,PEG,BSA,False,0.5,13.402323722839355
PEG_BSA_r2,PEG_BSA,PEG,BSA,False,0.5,5.522801399230957
COOH_BSA_r2,COOH_BSA,COOH,BSA,False,0.5,8.694278717041016
COOH_BSA_r3,COOH_BSA,COOH,BSA,False,0.5,6.127540111541748
COOH_BSA_r1,COOH_BSA,COOH,BSA,False,0.5,8.358951568603516
PEG_non-BSA_r2,PEG_non-BSA,PEG,non-BSA,False,0.5,-1.5289158821105957
PEG_non-BSA_r1,PEG_non-BSA,PEG,non-BSA,False,0.5,-5.324520111083984
PEG_non-BSA_r3,PEG_non-BSA,PEG,non-BSA,False,0.5,-5.546405792236328
COOH_non-BSA_r1,COOH_non-BSA,COOH,non-BSA,False,0.5,0.17975759506225586
COOH_non-BSA_r3,COOH_non-BSA,COOH,non-BSA,False,0.5,2.106673240661621
COOH_non-BSA_r2,COOH_non-BSA,COOH,non-BSA,False,0.5,3.502535104751587
PEG_BSA_control,PEG_BSA,PEG,BSA,True,0.5,7.28604793548584
COOH_BSA_control,COOH_BSA,COOH,BSA,True,0.5,9.440285682678223
PEG_non-BSA_control,PEG_non-BSA,PEG,non-BSA,True,0.5,-4.474360942840576
COOH_non-BSA_control,COOH_non-BSA,COOH,non-BSA,True,0.5,-19.67379379272461
PEG_BSA_r2,PEG_BSA,PEG,BSA,False,1.0,25.037973403930664
PEG_BSA_r3,PEG_BSA,PEG,BSA,False,1.0,19.859128952026367
COOH_BSA_r2,COOH_BSA,COOH,BSA,False,1.0,14.51050090789795
COOH_BSA_r1,COOH_BSA,COOH,BSA,False,1.0,9.785444259643555
COOH_BSA_r3,COOH_BSA,COOH,BSA,False,1.0,13.579465866088867
PEG_non-BSA_r1,PEG_non-BSA,PEG,non-BSA,False,1.0,0.6921844482421875
