agarose,bsa,coating,arm,rep,series,t,front,centroid,front_ctl,centroid_ctl,front_net,centroid_net
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,0.0,1.914256198347108,1.3084919561054915,4.299303402111101,3.194528539254328,-2.385047203763993,-1.8860365831488364
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,1.0,1.676652892561983,1.3039291274113947,2.11325472652743,1.3748864857980714,-0.43660183396544716,-0.07095735838667672
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,2.0,0.7262396694214873,1.0261484658466604,1.554455471555926,1.2286311826431258,-0.8282158021344387,-0.20248271679646535
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,3.0,1.676652892561983,0.9550668336840284,2.051707572279932,1.1862873981932884,-0.3750546797179488,-0.23122056450925998
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,4.0,2.3894628099173554,1.3072209271943735,2.3890936219895615,1.2938724865322648,0.0003691879277938348,0.013348440662108718
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,5.0,8.804752066115705,6.218870116472887,4.508405579217174,2.9010367978684783,4.296346486898531,3.317833318604409
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,6.0,8.804752066115705,6.408068705915614,4.508405579217174,3.022668378117613,4.296346486898531,3.385400327798001
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,7.5,8.804752066115705,6.462838137181009,4.14751019319616,2.9679934332973805,4.6572418729195455,3.494844703883629
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,9.0,8.804752066115705,6.448766052914772,6.180229303407997,4.503275409183526,2.6245227627077083,1.9454906437312465
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,10.5,8.804752066115705,6.46620225624254,6.042210969806486,4.156658524037636,2.76254109630922,2.3095437322049044
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,12.0,8.804752066115705,6.733560739829178,6.241776457655495,4.868038680262981,2.562975608460211,1.8655220595661968
0.4,BSA,COOH,control,1,0.4_BSA_COOH_control_r1,21.5,8.804752066115705,4.665332662650539,5.208965800074756,3.03758965849321,3.5957862660409496,1.6277430041573293
0.4,BSA,COOH,control,2,0.4_BSA_COOH_control_r2,0.0,8.82913139492087,6.654115405730245,4.299303402111101,3.194528539254328,4.529827992809769,3.459586866475917
0.4,BSA,COOH,control,2,0.4_BSA_COOH_control_r2,1.0,2.77926021347074,1.500557250858363,2.11325472652743,1.3748864857980714,0.6660054869433099,0.1256707650602915
