idx,series,t,arm,agarose,bsa,coating,rep,depth_mm,band_amount
0,0.4_BSA_PEG_magnet_r1,0.0,magnet,0.4,BSA,PEG,1,1.2000000000000002,2556.8245391845703
1,0.4_BSA_PEG_magnet_r1,0.0,magnet,0.4,BSA,PEG,1,0.925,2309.8394889831543
2,0.4_BSA_PEG_magnet_r2,0.0,magnet,0.4,BSA,PEG,2,3.0791666666666666,4456.970474243164
3,0.4_BSA_PEG_magnet_r2,0.0,magnet,0.4,BSA,PEG,2,2.4375,4581.000160217285
4,0.4_BSA_PEG_magnet_r3,0.0,magnet,0.4,BSA,PEG,3,0.0,0.0
5,0.4_BSA_PEG_magnet_r3,0.0,magnet,0.4,BSA,PEG,3,0.0,0.0
6,0.4_BSA_COOH_magnet_r2,0.0,magnet,0.4,BSA,COOH,2,2.941666666666667,3936.844379425049
7,0.4_BSA_COOH_magnet_r2,0.0,magnet,0.4,BSA,COOH,2,2.872916666666667,3704.993606567383
8,0.4_BSA_COOH_magnet_r1,0.0,magnet,0.4,BSA,COOH,1,0.0,0.0
9,0.4_BSA_COOH_magnet_r1,0.0,magnet,0.4,BSA,COOH,1,0.0,0.0
10,0.4_BSA_COOH_magnet_r3,0.0,magnet,0.4,BSA,COOH,3,3.2625,4218.687007904053
11,0.4_BSA_COOH_magnet_r3,0.0,magnet,0.4,BSA,COOH,3,3.125,3912.637626647949
12,0.4_BSA_PEG_control_r1,0.0,control,0.4,BSA,PEG,1,0.85625,2244.9672088623047
14,0.4_BSA_PEG_control_r3,0.0,control,0.4,BSA,PEG,3,1.5208333333333335,3097.67525100708
15,0.4_BSA_COOH_control_r1,0.0,control,0.4,BSA,COOH,1,2.941666666666667,4062.8787956237793
16,0.4_BSA_COOH_control_r2,0.0,control,0.4,BSA,COOH,2,0.0,0.0
17,0.4_BSA_COOH_control_r3,0.0,control,0.4,BSA,COOH,3,2.872916666666667,4067.431125640869
18,0.4_BSA_PEG_magnet_r1,1.0,magnet,0.4,BSA,PEG,1,0.925,2576.0901794433594
19,0.4_BSA_PEG_magnet_r2,1.0,magnet,0.4,BSA,PEG,2,3.125,4355.180465698242
20,0.4_BSA_PEG_magnet_r3,1.0,magnet,0.4,BSA,PEG,3,2.5520833333333335,3733.94429397583
21,0.4_BSA_COOH_magnet_r1,1.0,magnet,0.4,BSA,COOH,1,2.4604166666666667,3848.3261375427246
22,0.4_BSA_COOH_magnet_r2,1.0,magnet,0.4,BSA,COOH,2,2.0479166666666666,4045.6852264404297
23,0.4_BSA_COOH_magnet_r3,1.0,magnet,0.4,BSA,COOH,3,0.07708333333333339,221.9229621887207
24,0.4_BSA_PEG_control_r2,1.0,control,0.4,BSA,PEG,2,2.5520833333333335,5022.95397567749
25,0.4_BSA_PEG_control_r1,1.0,control,0.4,BSA,PEG,1,2.91875,4361.590301513672
26,0.4_BSA_PEG_control_r3,1.0,control,0.4,BSA,PEG,3,2.85,5021.162328720093
27,0.4_BSA_COOH_control_r1,1.0,control,0.4,BSA,COOH,1,2.23125,3247.3212890625
28,0.4_BSA_COOH_control_r2,1.0,control,0.4,BSA,COOH,2,2.7354166666666666,4632.508165359497
29,0.4_BSA_COOH_control_r3,1.0,control,0.4,BSA,COOH,3,2.1395833333333334,3932.8095092773438
30,0.4_BSA_PEG_magnet_r1,2.0,magnet,0.4,BSA,PEG,1,2.277083333333333,3194.0916633605957
31,0.4_BSA_PEG_magnet_r2,2.0,magnet,0.4,BSA,PEG,2,2.9875,3668.96053314209
32,0.4_BSA_PEG_magnet_r3,2.0,magnet,0.4,BSA,PEG,3,2.1166666666666667,1245.275390625
33,0.4_BSA_COOH_magnet_r1,2.0,magnet,0.4,BSA,COOH,1,2.575,3054.4261474609375
34,0.4_BSA_COOH_magnet_r2,2.0,magnet,0.4,BSA,COOH,2,2.025,3739.612937927246
35,0.4_BSA_COOH_magnet_r3,2.0,magnet,0.4,BSA,COOH,3,2.50625,4480.019733428955
36,0.4_BSA_PEG_control_r1,2.0,control,0.4,BSA,PEG,1,2.3229166666666665,5006.088403701782
37,0.4_BSA_PEG_control_r2,2.0,control,0.4,BSA,PEG,2,2.4604166666666667,4755.8721351623535
38,0.4_BSA_PEG_control_r3,2.0,control,0.4,BSA,PEG,3,3.5145833333333334,4898.527648925781
