day,agarose,bsa,arm,coating,series,plateau
Aug 23,0.4%,non-BSA,large,COOH,COOH_L1,45.97355397542318
Aug 23,0.4%,non-BSA,large,COOH,COOH_L2,41.827195485432945
Aug 23,0.4%,non-BSA,large,COOH,COOH_L3,36.44579060872396
Aug 23,0.4%,non-BSA,large,PEG,PEG_L1,35.060290018717446
Aug 23,0.4%,non-BSA,large,PEG,PEG_L2,45.01715596516927
Aug 23,0.4%,non-BSA,large,PEG,PEG_L3,24.88063621520996
Aug 23,0.4%,non-BSA,small,COOH,COOH_S1,2.4566659927368164
Aug 23,0.4%,non-BSA,small,COOH,COOH_S2,3.2405643463134766
Aug 23,0.4%,non-BSA,small,COOH,COOH_S3,17.843778610229492
Aug 23,0.4%,non-BSA,small,PEG,PEG_S1,-0.716803232828776
Aug 23,0.4%,non-BSA,small,PEG,PEG_S2,24.5060240427653
Aug 23,0.4%,non-BSA,small,PEG,PEG_S3,11.65086841583252
Aug 26,0.6%,BSA,large,COOH,COOH_BSA_r1,28.63140805562337
Aug 26,0.6%,BSA,large,COOH,COOH_BSA_r2,33.11633555094401
Aug 26,0.6%,BSA,large,COOH,COOH_BSA_r3,24.714237213134766
Aug 26,0.6%,BSA,large,PEG,PEG_BSA_r1,28.440344492594402
Aug 26,0.6%,BSA,large,PEG,PEG_BSA_r2,18.129990259806316
Aug 26,0.6%,BSA,large,PEG,PEG_BSA_r3,21.546456654866535
Aug 26,0.6%,non-BSA,large,COOH,COOH_non-BSA_r1,12.842093785603842
Aug 26,0.6%,non-BSA,large,COOH,COOH_non-BSA_r2,48.087014516194664
Aug 26,0.6%,non-BSA,large,COOH,COOH_non-BSA_r3,36.150343577067055
Aug 26,0.6%,non-BSA,large,PEG,PEG_non-BSA_r1,18.899547576904297
Aug 26,0.6%,non-BSA,large,PEG,PEG_non-BSA_r2,14.487876256306967
Aug 26,0.6%,non-BSA,large,PEG,PEG_non-BSA_r3,9.946624120076498
