path,agarose,bsa,timepoint_hr,capture_time,shot_order,gap_s,v_sticker,v_coating,v_bsa,v_agarose,v_control,v_tally,v_magnet,v_magnet_size,v_conf,v_notes
0.4 BACK/BSA /0 hrs/PXL_20260827_105952935.jpg,0.4,BSA,0.0,2026-08-27 10:59:52.935,1,,0.4 BSA PEG,PEG,True,0.4,False,1,none,,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110002745.jpg,0.4,BSA,0.0,2026-08-27 11:00:02.745,2,9.81,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110019044.jpg,0.4,BSA,0.0,2026-08-27 11:00:19.044,3,16.299,0.4 BSA PEG,PEG,True,0.4,False,2,none,,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110034990.jpg,0.4,BSA,0.0,2026-08-27 11:00:34.990,4,15.946,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110102715.jpg,0.4,BSA,0.0,2026-08-27 11:01:02.715,5,27.725,0.4 BSA PEG,PEG,True,0.4,False,3,none,,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110116866.jpg,0.4,BSA,0.0,2026-08-27 11:01:16.866,6,14.151,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110153818.jpg,0.4,BSA,0.0,2026-08-27 11:01:53.818,7,36.952,0.4 BSA COOH,COOH,True,0.4,False,2,none,,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110206745.jpg,0.4,BSA,0.0,2026-08-27 11:02:06.745,8,12.927,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110231153.jpg,0.4,BSA,0.0,2026-08-27 11:02:31.153,9,24.408,0.4 BSA COOH,COOH,True,0.4,False,1,none,,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110306442.jpg,0.4,BSA,0.0,2026-08-27 11:03:06.442,10,35.289,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110330217.jpg,0.4,BSA,0.0,2026-08-27 11:03:30.217,11,23.775,0.4 BSA COOH,COOH,True,0.4,False,3,none,,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_110342332.jpg,0.4,BSA,0.0,2026-08-27 11:03:42.332,12,12.115,0.4 BSA COOH,COOH,True,0.4,False,3,present,large,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_111857577.jpg,0.4,BSA,0.0,2026-08-27 11:18:57.577,13,915.245,0.4 BSA PEG,PEG,True,0.4,True,1,none,,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_111911378.jpg,0.4,BSA,0.0,2026-08-27 11:19:11.378,14,13.801,0.4 BSA PEG,PEG,True,0.4,True,2,none,,high,"tally rows drawn tightly with vertical tie-strokes, initially resembled 3; confirmed 2 rows on zoom"
0.4 BACK/BSA /0 hrs/PXL_20260827_111922134.jpg,0.4,BSA,0.0,2026-08-27 11:19:22.134,15,10.756,0.4 BSA PEG,PEG,True,0.4,True,3,none,,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_111958369.jpg,0.4,BSA,0.0,2026-08-27 11:19:58.369,16,36.235,0.4 BSA COOH,COOH,True,0.4,True,1,none,,high,
0.4 BACK/BSA /0 hrs/PXL_20260827_112010799.jpg,0.4,BSA,0.0,2026-08-27 11:20:10.799,17,12.43,0.4 BSA COOH,COOH,True,0.4,True,2,none,,high,"tally rows drawn tightly with vertical tie-strokes, initially resembled 3; confirmed 2 rows on zoom"
0.4 BACK/BSA /0 hrs/PXL_20260827_112023671.jpg,0.4,BSA,0.0,2026-08-27 11:20:23.671,18,12.872,0.4 BSA COOH,COOH,True,0.4,True,3,none,,high,
0.4 BACK/BSA /1 hr/PXL_20260827_115925184.jpg,0.4,BSA,1.0,2026-08-27 11:59:25.184,1,,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,
0.4 BACK/BSA /1 hr/PXL_20260827_115945016.jpg,0.4,BSA,1.0,2026-08-27 11:59:45.016,2,19.832,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,
0.4 BACK/BSA /1 hr/PXL_20260827_120002840.jpg,0.4,BSA,1.0,2026-08-27 12:00:02.840,3,17.824,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,
