path,geometry,timepoint_hr,capture_time,shot_order,gap_s,v_sticker,v_coating,v_bsa,v_control,v_ctrl_vertical,v_tally,v_magnet,v_conf,v_notes,coating,bsa,control,cond
0.6 CENTER/0 hrs after magnet/PXL_20260826_151358972.jpg,0.6 CENTER,0.0,2026-08-26 15:13:58.972,1,,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_151452121.jpg,0.6 CENTER,0.0,2026-08-26 15:14:52.121,2,53.149,PEG 0.6 BSA,PEG,True,False,,2.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_151531216.jpg,0.6 CENTER,0.0,2026-08-26 15:15:31.216,3,39.095,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,,PEG,BSA,False,PEG_BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_151626163.jpg,0.6 CENTER,0.0,2026-08-26 15:16:26.163,4,54.947,COOH 0.6 BSA,COOH,True,False,,2.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_151707066.jpg,0.6 CENTER,0.0,2026-08-26 15:17:07.066,5,40.903,COOH 0.6 BSA,COOH,True,False,,1.0,present,high,,COOH,BSA,False,COOH_BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_151743160.jpg,0.6 CENTER,0.0,2026-08-26 15:17:43.160,6,36.094,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,"sticker text very faint/blurry, coating read as COOH with reduced confidence",COOH,BSA,False,COOH_BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_151816295.jpg,0.6 CENTER,0.0,2026-08-26 15:18:16.295,7,33.135,,unsure,,False,,1.0,present,low,"sticker occluded/folded under gel holder in all three crops, text not visible; control=false inferred from magnet being present",unsure,,False,
0.6 CENTER/0 hrs after magnet/PXL_20260826_151915365.jpg,0.6 CENTER,0.0,2026-08-26 15:19:15.365,8,59.07,PEG 0.6,PEG,False,False,,2.0,present,high,,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_152006635.jpg,0.6 CENTER,0.0,2026-08-26 15:20:06.635,9,51.27,PEG 0.6,PEG,False,False,,1.0,present,low,tally mark on strap very faint/light pink,PEG,non-BSA,False,PEG_non-BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_152118182.jpg,0.6 CENTER,0.0,2026-08-26 15:21:18.182,10,71.547,COOH 0.6,COOH,False,False,,1.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_152205398.jpg,0.6 CENTER,0.0,2026-08-26 15:22:05.398,11,47.216,COOH 0.6,COOH,False,False,,3.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_152245462.jpg,0.6 CENTER,0.0,2026-08-26 15:22:45.462,12,40.064,COOH 0.6,COOH,False,False,,2.0,present,high,,COOH,non-BSA,False,COOH_non-BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_152616632.jpg,0.6 CENTER,0.0,2026-08-26 15:26:16.632,13,211.17,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,,PEG,BSA,True,PEG_BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_152651538.jpg,0.6 CENTER,0.0,2026-08-26 15:26:51.538,14,34.906,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,low,"sticker text messy/doubled (CTRL appears written twice), but CTRL clearly vertical",COOH,BSA,True,COOH_BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_152720564.jpg,0.6 CENTER,0.0,2026-08-26 15:27:20.564,15,29.026,PEG 0.6 CTRL,PEG,False,True,False,,none,high,,PEG,non-BSA,True,PEG_non-BSA
0.6 CENTER/0 hrs after magnet/PXL_20260826_152748382.jpg,0.6 CENTER,0.0,2026-08-26 15:27:48.382,16,27.818,COOH 0.6 CTRL,COOH,False,True,False,,none,high,,COOH,non-BSA,True,COOH_non-BSA
