path,v_sticker,v_coating,v_bsa,v_control,v_ctrl_vertical,v_tally,v_magnet,v_conf,v_notes
0.6 CENTER/0 hrs after magnet/PXL_20260826_151358972.jpg,PEG 0.6 BSA,PEG,True,False,,1.0,present,high,
0.6 CENTER/0 hrs after magnet/PXL_20260826_151452121.jpg,PEG 0.6 BSA,PEG,True,False,,2.0,present,high,
0.6 CENTER/0 hrs after magnet/PXL_20260826_151531216.jpg,PEG 0.6 BSA,PEG,True,False,,3.0,present,high,
0.6 CENTER/0 hrs after magnet/PXL_20260826_151626163.jpg,COOH 0.6 BSA,COOH,True,False,,2.0,present,high,
0.6 CENTER/0 hrs after magnet/PXL_20260826_151707066.jpg,COOH 0.6 BSA,COOH,True,False,,1.0,present,high,
0.6 CENTER/0 hrs after magnet/PXL_20260826_151743160.jpg,COOH 0.6 BSA,COOH,True,False,,3.0,present,low,"sticker text very faint/blurry, coating read as COOH with reduced confidence"
0.6 CENTER/0 hrs after magnet/PXL_20260826_151816295.jpg,,unsure,,False,,1.0,present,low,"sticker occluded/folded under gel holder in all three crops, text not visible; control=false inferred from magnet being present"
0.6 CENTER/0 hrs after magnet/PXL_20260826_151915365.jpg,PEG 0.6,PEG,False,False,,2.0,present,high,
0.6 CENTER/0 hrs after magnet/PXL_20260826_152006635.jpg,PEG 0.6,PEG,False,False,,1.0,present,low,tally mark on strap very faint/light pink
0.6 CENTER/0 hrs after magnet/PXL_20260826_152118182.jpg,COOH 0.6,COOH,False,False,,1.0,present,high,
0.6 CENTER/0 hrs after magnet/PXL_20260826_152205398.jpg,COOH 0.6,COOH,False,False,,3.0,present,high,
0.6 CENTER/0 hrs after magnet/PXL_20260826_152245462.jpg,COOH 0.6,COOH,False,False,,2.0,present,high,
0.6 CENTER/0 hrs after magnet/PXL_20260826_152616632.jpg,PEG 0.6 BSA CTRL,PEG,True,True,True,,none,high,
0.6 CENTER/0 hrs after magnet/PXL_20260826_152651538.jpg,COOH 0.6 BSA CTRL,COOH,True,True,True,,none,low,"sticker text messy/doubled (CTRL appears written twice), but CTRL clearly vertical"
