series,agarose,bsa,coating,arm,rep,v_front_early,final_front,final_cent
0.4_BSA_COOH_control_r1,0.4,BSA,COOH,control,1,0.13640908522428094,1.475,1.8217166863630905
0.4_BSA_COOH_control_r2,0.4,BSA,COOH,control,2,0.1998292590304616,,
0.4_BSA_COOH_control_r3,0.4,BSA,COOH,control,3,0.12752159241854413,1.40625,3.6335896696553633
0.4_BSA_COOH_magnet_r1,0.4,BSA,COOH,magnet,1,-0.42333658603523083,2.345833333333333,3.9255040069347897
0.4_BSA_COOH_magnet_r2,0.4,BSA,COOH,magnet,2,-0.8128750638225456,1.6124999999999998,4.448239909783212
0.4_BSA_COOH_magnet_r3,0.4,BSA,COOH,magnet,3,0.07959171571697511,1.5208333333333337,3.57074801457299
0.4_BSA_PEG_control_r1,0.4,BSA,PEG,control,1,0.20997588350515864,2.3229166666666665,2.29043536895468
0.4_BSA_PEG_control_r2,0.4,BSA,PEG,control,2,0.10835274383389866,2.689583333333333,2.6176643780183304
0.4_BSA_PEG_control_r3,0.4,BSA,PEG,control,3,-0.001541808678528707,2.185416666666667,2.866012225432936
0.4_BSA_PEG_magnet_r1,0.4,BSA,PEG,magnet,1,0.6200271396546987,3.7895833333333337,3.843317902464048
0.4_BSA_PEG_magnet_r2,0.4,BSA,PEG,magnet,2,0.780173808114707,1.5437500000000002,4.795521213925444
0.4_BSA_PEG_magnet_r3,0.4,BSA,PEG,magnet,3,0.2939294812127417,3.560416666666667,2.8207945326110866
0.4_non-BSA_COOH_control_r1,0.4,non-BSA,COOH,control,1,0.35081691011904614,0.7875000000000001,3.080391081397459
0.4_non-BSA_COOH_control_r2,0.4,non-BSA,COOH,control,2,0.24579896725442282,2.3229166666666665,3.1134973670326125
0.4_non-BSA_COOH_control_r3,0.4,non-BSA,COOH,control,3,0.19630694366370352,2.4145833333333333,1.5003530513060137
0.4_non-BSA_COOH_magnet_r1,0.4,non-BSA,COOH,magnet,1,0.14935964692473458,1.13125,4.826582055607385
0.4_non-BSA_COOH_magnet_r2,0.4,non-BSA,COOH,magnet,2,-0.15169887643416322,1.5666666666666669,2.6907786300606396
0.4_non-BSA_COOH_magnet_r3,0.4,non-BSA,COOH,magnet,3,0.053606390482398576,3.9958333333333336,5.356376256189736
0.4_non-BSA_PEG_control_r1,0.4,non-BSA,PEG,control,1,0.004903936013218532,0.8333333333333333,4.661363355733485
0.4_non-BSA_PEG_control_r2,0.4,non-BSA,PEG,control,2,0.4490521406119622,3.33125,4.357935409519031
0.4_non-BSA_PEG_control_r3,0.4,non-BSA,PEG,control,3,0.28911799098227253,2.254166666666667,1.8398063994718417
0.4_non-BSA_PEG_magnet_r1,0.4,non-BSA,PEG,magnet,1,-0.028051048252041497,2.4145833333333333,2.2970055712733872
0.4_non-BSA_PEG_magnet_r2,0.4,non-BSA,PEG,magnet,2,0.20335642332105028,1.4979166666666668,3.550115489189476
0.4_non-BSA_PEG_magnet_r3,0.4,non-BSA,PEG,magnet,3,-0.019015892010327867,1.1541666666666668,4.98917492832416
0.6_BSA_COOH_control_r1,0.6,BSA,COOH,control,1,0.48942235400066636,1.5895833333333331,4.43746938484902
0.6_BSA_COOH_control_r2,0.6,BSA,COOH,control,2,0.4845386416918829,1.5208333333333337,2.120478037903972
0.6_BSA_COOH_control_r3,0.6,BSA,COOH,control,3,0.43893780944557886,3.4916666666666663,3.589650131126531
0.6_BSA_COOH_magnet_r1,0.6,BSA,COOH,magnet,1,0.38265953995035024,3.033333333333333,6.557811268233008
0.6_BSA_COOH_magnet_r2,0.6,BSA,COOH,magnet,2,-0.0014924161946518835,1.4291666666666667,4.905622036862821
0.6_BSA_COOH_magnet_r3,0.6,BSA,COOH,magnet,3,0.11073561101696558,1.1770833333333337,4.690727702397295
0.6_BSA_PEG_control_r1,0.6,BSA,PEG,control,1,0.2585447227379263,1.5208333333333337,1.8670740962098409
0.6_BSA_PEG_control_r2,0.6,BSA,PEG,control,2,0.2665194841007078,,
0.6_BSA_PEG_control_r3,0.6,BSA,PEG,control,3,0.2759466222301832,2.4604166666666667,1.9496330059605205
0.6_BSA_PEG_magnet_r1,0.6,BSA,PEG,magnet,1,-0.47639305698905815,1.7729166666666667,4.956402620997042
0.6_BSA_PEG_magnet_r2,0.6,BSA,PEG,magnet,2,-0.012728794674938945,1.40625,4.592075968783313
0.6_BSA_PEG_magnet_r3,0.6,BSA,PEG,magnet,3,-0.33498457095572354,1.5208333333333337,4.202701935385798
0.6_non-BSA_COOH_control_r1,0.6,non-BSA,COOH,control,1,0.3638715375947989,2.9875,2.257806604757585
0.6_non-BSA_COOH_control_r2,0.6,non-BSA,COOH,control,2,0.6483466666536051,4.797916666666667,3.547174214584801
0.6_non-BSA_COOH_control_r3,0.6,non-BSA,COOH,control,3,0.36711327966618873,2.3,1.7915310139345373
0.6_non-BSA_COOH_magnet_r1,0.6,non-BSA,COOH,magnet,1,-0.8537636703524575,3.5145833333333334,2.739775269399892
0.6_non-BSA_COOH_magnet_r2,0.6,non-BSA,COOH,magnet,2,-0.6120638839415639,1.5437500000000002,2.002573354107214
0.6_non-BSA_COOH_magnet_r3,0.6,non-BSA,COOH,magnet,3,-0.7181256714922475,2.277083333333333,4.770071058239154
0.6_non-BSA_PEG_control_r1,0.6,non-BSA,PEG,control,1,0.22238926983754537,2.1166666666666667,1.277842225646396
0.6_non-BSA_PEG_control_r2,0.6,non-BSA,PEG,control,2,0.20970926402466677,2.185416666666667,1.5380250768735997
0.6_non-BSA_PEG_control_r3,0.6,non-BSA,PEG,control,3,0.11875279727438665,2.3229166666666665,1.9734717145295235
0.6_non-BSA_PEG_magnet_r1,0.6,non-BSA,PEG,magnet,1,-0.0593821720267737,1.3604166666666666,4.604665605880547
0.6_non-BSA_PEG_magnet_r2,0.6,non-BSA,PEG,magnet,2,0.09860532110118153,1.4520833333333334,5.090670613273045
0.6_non-BSA_PEG_magnet_r3,0.6,non-BSA,PEG,magnet,3,0.12579393276240355,0.8333333333333333,5.5569106905060925
