idx,series,timepoint_hr,src,repair,dx,dy,ecc,q0x,q0y,q1x,q1y,q2x,q2y,q3x,q3y
4,COOH_L1,0.0,dots,kept,0.0,0.0,off,425.8508605957031,191.1118621826172,687.754638671875,189.65740966796875,680.2172241210938,437.81146240234375,441.4518127441406,447.3887023925781
12,COOH_L1,0.0,dots,kept,0.0,0.0,ref,424.9715270996094,177.7437744140625,687.7142944335938,172.53968811035156,682.117919921875,423.3589782714844,441.5034484863281,434.4586181640625
32,COOH_L1,0.5,dots,kept,0.0,0.0,off,425.6311340332031,178.0327911376953,687.2801513671875,173.2062225341797,682.369873046875,422.5205383300781,443.128662109375,433.9117736816406
46,COOH_L1,1.0,dots,kept,0.0,0.0,off,433.16094970703125,180.2294464111328,693.4198608398438,176.17556762695312,688.431396484375,424.14117431640625,450.5954284667969,436.46820068359375
60,COOH_L1,1.5,dots,kept,0.0,0.0,off,442.6690979003906,175.74908447265625,705.1519775390625,171.6280059814453,699.6513671875,420.7049865722656,460.52130126953125,433.42950439453125
74,COOH_L1,2.0,dots,kept,0.0,0.0,off,442.0,185.59091186523438,708.1155395507812,190.14222717285156,700.7071533203125,439.7845153808594,458.38775634765625,449.6000061035156
88,COOH_L1,2.5,dots,kept,0.0,0.0,off,437.3923034667969,194.4769287109375,700.4776000976562,192.21392822265625,694.168701171875,440.4739074707031,454.7049255371094,452.7786865234375
102,COOH_L1,3.0,dots,kept,0.0,0.0,off,430.2680969238281,190.51063537597656,694.9130249023438,187.27951049804688,689.2557983398438,437.15350341796875,449.03656005859375,450.33221435546875
116,COOH_L1,3.5,dots,kept,0.0,0.0,off,435.3892822265625,181.13214111328125,700.5707397460938,179.13658142089844,693.4813232421875,428.45794677734375,451.75390625,440.6417541503906
130,COOH_L1,4.0,dots,kept,0.0,0.0,off,447.7464294433594,178.9678497314453,711.316650390625,176.98333740234375,704.342529296875,427.5787353515625,464.14508056640625,438.31866455078125
144,COOH_L1,4.5,dots,kept,0.0,0.0,off,437.32330322265625,176.20677185058594,703.0279541015625,171.91061401367188,696.328125,424.6770935058594,448.55340576171875,432.4757385253906
158,COOH_L1,5.0,dots,kept,0.0,0.0,off,449.3389892578125,226.7203369140625,707.1689453125,221.7123260498047,702.3128051757812,467.5506591796875,466.8936767578125,479.62127685546875
172,COOH_L1,5.5,dots,kept,0.0,0.0,off,440.50189208984375,183.0717010498047,699.0,177.47886657714844,694.1731567382812,424.0,458.87060546875,436.5903015136719
186,COOH_L1,6.0,dots,kept,0.0,0.0,off,448.3157958984375,196.13157653808594,711.0742797851562,190.34158325195312,705.0079956054688,441.07598876953125,457.8125,449.125
5,COOH_L2,0.0,dots,kept,0.0,0.0,off,433.1230773925781,188.53846740722656,693.271484375,173.38914489746094,680.9392700195312,432.99285888671875,449.9820556640625,436.14520263671875
13,COOH_L2,0.0,dots,kept,0.0,0.0,ref,448.7688903808594,188.83778381347656,708.732421875,173.4225311279297,680.5,415.5294189453125,463.5484924316406,435.40484619140625
33,COOH_L2,0.5,dots,kept,0.0,0.0,off,431.59765625,188.27113342285156,691.089599609375,171.47640991210938,678.7865600585938,430.438720703125,444.4463195800781,434.2583923339844
47,COOH_L2,1.0,dots,kept,0.0,0.0,off,429.63787841796875,186.5780792236328,691.5550537109375,171.58372497558594,679.1275634765625,430.1851806640625,444.3843688964844,433.5472412109375
61,COOH_L2,1.5,dots,kept,0.0,0.0,off,446.4973449707031,202.9122314453125,707.029541015625,182.3201904296875,699.152587890625,442.6747131347656,463.6457824707031,449.35968017578125
