t,arm,agarose,bsa,coating,gap_b,mid_b,right_b
0.0,magnet,0.4,BSA,PEG,5.0,6.0,6.0
0.0,magnet,0.4,BSA,PEG,6.0,6.0,6.0
0.0,magnet,0.4,BSA,PEG,-1.0,-1.0,-1.0
0.0,magnet,0.4,BSA,COOH,2.0,8.0,8.0
0.0,magnet,0.4,BSA,COOH,-16.0,-16.0,-16.0
0.0,magnet,0.4,BSA,COOH,3.0,7.0,7.0
0.0,control,0.4,BSA,PEG,4.0,4.0,6.0
0.0,control,0.4,BSA,PEG,4.0,6.0,8.0
0.0,control,0.4,BSA,COOH,2.0,5.0,6.0
0.0,control,0.4,BSA,COOH,-3.0,-3.0,-3.0
0.0,control,0.4,BSA,COOH,2.0,6.0,6.0
1.0,magnet,0.4,BSA,PEG,5.0,6.0,6.0
1.0,magnet,0.4,BSA,PEG,2.0,6.0,6.0
1.0,magnet,0.4,BSA,PEG,0.0,0.0,0.0
1.0,magnet,0.4,BSA,COOH,9.0,2.0,3.0
1.0,magnet,0.4,BSA,COOH,5.0,6.0,6.0
1.0,magnet,0.4,BSA,COOH,1.0,6.0,4.0
1.0,control,0.4,BSA,PEG,5.0,4.0,5.0
1.0,control,0.4,BSA,PEG,2.0,6.0,6.0
1.0,control,0.4,BSA,PEG,7.0,6.0,7.0
1.0,control,0.4,BSA,COOH,11.0,6.0,7.0
1.0,control,0.4,BSA,COOH,10.0,6.0,7.0
1.0,control,0.4,BSA,COOH,8.0,7.0,8.0
2.0,magnet,0.4,BSA,PEG,7.0,6.0,7.0
2.0,magnet,0.4,BSA,PEG,3.0,7.0,7.0
2.0,magnet,0.4,BSA,PEG,1.0,7.0,6.0
2.0,magnet,0.4,BSA,COOH,5.0,5.0,5.0
2.0,magnet,0.4,BSA,COOH,6.0,7.0,7.0
2.0,magnet,0.4,BSA,COOH,11.0,7.0,7.0
2.0,control,0.4,BSA,PEG,13.0,8.0,8.0
2.0,control,0.4,BSA,PEG,9.0,9.0,10.0
2.0,control,0.4,BSA,PEG,3.0,8.0,10.0
2.0,control,0.4,BSA,COOH,19.0,9.0,10.0
2.0,control,0.4,BSA,COOH,20.0,9.0,9.0
2.0,control,0.4,BSA,COOH,17.0,9.0,9.0
3.0,magnet,0.4,BSA,PEG,7.0,7.0,7.0
3.0,magnet,0.4,BSA,PEG,7.0,7.0,8.0
3.0,magnet,0.4,BSA,PEG,0.0,7.0,6.0
3.0,magnet,0.4,BSA,COOH,6.0,6.0,6.0
3.0,magnet,0.4,BSA,COOH,0.0,8.0,8.0
3.0,magnet,0.4,BSA,COOH,12.0,7.0,7.0
3.0,control,0.4,BSA,PEG,17.0,8.0,9.0
3.0,control,0.4,BSA,PEG,11.0,9.0,10.0
3.0,control,0.4,BSA,PEG,10.0,11.0,12.0
