agarose,bsa,coating,t,delta,se,delta_corr
0.4,BSA,COOH,0.0,-14.83993629614512,19.785312437021528,0.0
0.4,BSA,COOH,1.0,-38.49276351928711,2.743295571743082,-23.65282722314199
0.4,BSA,COOH,2.0,-29.478683471679688,7.379904084200548,-14.638747175534567
0.4,BSA,COOH,3.0,-36.068098386128746,7.861205806149725,-21.228162089983627
0.4,BSA,COOH,4.0,-29.63310686747233,5.093130511665058,-14.793170571327208
0.4,BSA,COOH,5.0,-21.070790926615395,8.677748390524915,-6.230854630470274
0.4,BSA,COOH,6.0,-13.586632410685219,8.196391136668622,1.2533038854599017
0.4,BSA,COOH,7.5,-12.227913856506346,6.242125350068517,2.612022439638775
0.4,BSA,COOH,9.0,-13.84761683146159,7.298858558114253,0.9923194646835309
0.4,BSA,COOH,10.5,-25.089973131815594,7.296711913716671,-10.250036835670473
0.4,BSA,COOH,12.0,-29.42764663696289,5.208564772154597,-14.58771034081777
0.4,BSA,COOH,21.5,-20.78932603200277,14.12619038040446,-5.949389735857649
0.4,BSA,PEG,0.0,-23.049001216888428,13.356607739783069,0.0
0.4,BSA,PEG,1.0,-28.44383939107259,6.489088251586764,-5.394838174184162
0.4,BSA,PEG,2.0,-46.310075759887695,4.719660925356,-23.261074542999268
0.4,BSA,PEG,3.0,-39.80229250590007,9.47313029891646,-16.753291289011642
0.4,BSA,PEG,4.0,-29.171284993489586,5.412396498928757,-6.122283776601158
0.4,BSA,PEG,5.0,-23.203274408976238,6.0432631744398675,-0.15427319208781043
0.4,BSA,PEG,6.0,-8.245803515116375,4.818528062497583,14.803197701772053
0.4,BSA,PEG,7.5,-19.910502115885418,7.530728709214358,3.13849910100301
0.4,BSA,PEG,9.0,-17.35218302408854,5.536749857692857,5.696818192799888
0.4,BSA,PEG,10.5,-12.621943791707356,8.402515598965078,10.427057425181072
0.4,BSA,PEG,12.0,-17.93938446044922,5.886110423965589,5.109616756439209
0.4,BSA,PEG,21.5,-21.5929692586263,15.087399247504104,1.4560319582621268
0.4,non-BSA,COOH,0.0,-37.155155181884766,6.736506826452483,0.0
0.4,non-BSA,COOH,1.0,-28.497241338094078,9.902692372157812,8.657913843790688
0.4,non-BSA,COOH,2.0,-32.149346033732094,9.887889329152246,5.005809148152672
0.4,non-BSA,COOH,3.0,-33.66073862711589,8.085885212707788,3.4944165547688755
0.4,non-BSA,COOH,4.0,-24.98340352376302,6.751649243847519,12.171751658121746
0.4,non-BSA,COOH,5.0,-28.973972002665203,7.70418807970453,8.181183179219563
0.4,non-BSA,COOH,6.0,-18.086562474568687,7.016677753406308,19.06859270731608
0.4,non-BSA,COOH,7.5,-21.64450454711914,8.051964735240219,15.510650634765625
0.4,non-BSA,COOH,9.0,-12.706043879191082,6.291656490104502,24.449111302693684
0.4,non-BSA,COOH,10.5,-9.192616780598959,8.217449755874924,27.962538401285805
0.4,non-BSA,COOH,12.0,-8.229815165201824,7.59429101030235,28.92534001668294
0.4,non-BSA,COOH,21.5,-28.831960678100586,5.799980849827668,8.32319450378418
0.4,non-BSA,PEG,0.0,-26.069233417510986,12.123423518666213,0.0
0.4,non-BSA,PEG,1.0,-36.831288973490395,11.581232111785216,-10.762055555979408
0.4,non-BSA,PEG,2.0,-31.974553426106773,7.09877275157313,-5.905320008595787
0.4,non-BSA,PEG,3.0,-32.4206968943278,7.517704620210887,-6.351463476816811
0.4,non-BSA,PEG,4.0,-23.634188969930015,6.447452208141552,2.435044447580971
0.4,non-BSA,PEG,5.0,-30.941526412963867,6.660098957927063,-4.872292995452881
0.4,non-BSA,PEG,6.0,-18.88376585642497,7.988432730718614,7.185467561086018
0.4,non-BSA,PEG,7.5,-11.771891276041668,9.192952748179506,14.297342141469318
0.4,non-BSA,PEG,9.0,-27.728328069051106,4.561990018017474,-1.6590946515401193
0.4,non-BSA,PEG,10.5,-5.86562220255534,6.989793365674215,20.203611214955647
0.4,non-BSA,PEG,12.0,-2.7304555575052873,10.434228173888648,23.3387778600057
0.4,non-BSA,PEG,21.5,-10.782405853271484,8.69786997797845,15.286827564239502
0.6,BSA,COOH,0.0,-10.942047119140625,10.106720751855335,0.0
0.6,BSA,COOH,1.0,-33.843821207682296,5.79261638347404,-22.90177408854167
0.6,BSA,COOH,2.0,-39.96523857116699,8.597887454091763,-29.023191452026367
0.6,BSA,COOH,3.0,-43.166666666666664,11.528166357951902,-32.22461954752604
0.6,BSA,COOH,4.0,-42.89535617828369,5.599332528867984,-31.953309059143066
0.6,BSA,COOH,5.0,-31.24518648783366,10.004153745518394,-20.303139368693035
0.6,BSA,COOH,6.0,-37.72244803110758,9.759647353314215,-26.780400911966957
0.6,BSA,COOH,7.5,-32.84083525339762,5.761231787630529,-21.898788134256996
0.6,BSA,COOH,9.0,-25.056405385335285,10.681366877902953,-14.11435826619466
0.6,BSA,COOH,10.5,-38.30808575948079,4.538267945507977,-27.366038640340165
0.6,BSA,COOH,12.0,-34.67904122670491,5.192735789928507,-23.736994107564286
0.6,BSA,COOH,21.5,-44.74926567077637,16.073093481921685,-33.80721855163574
0.6,BSA,PEG,0.0,-16.00750020345052,13.574909859662569,0.0
0.6,BSA,PEG,1.0,-48.21075757344563,3.908819621124645,-32.203257369995114
0.6,BSA,PEG,2.0,-39.51260121663412,13.894419250124152,-23.505101013183598
0.6,BSA,PEG,3.0,-46.41564623514812,9.944334748768217,-30.408146031697598
0.6,BSA,PEG,4.0,-33.805164655049644,11.772227112830508,-17.797664451599125
0.6,BSA,PEG,5.0,-25.75839074452718,11.451940776094652,-9.75089054107666
0.6,BSA,PEG,6.0,-23.841662406921387,13.68881820629076,-7.834162203470868
0.6,BSA,PEG,7.5,-22.870305061340332,11.283043883954365,-6.862804857889813
0.6,BSA,PEG,9.0,-35.078684488932296,12.041205584637373,-19.071184285481777
0.6,BSA,PEG,10.5,-22.622678120930992,14.641524604592412,-6.615177917480473
0.6,BSA,PEG,12.0,-30.92330233256022,11.003853880235203,-14.9158021291097
0.6,BSA,PEG,21.5,-39.98007520039876,9.53741264043634,-23.97257499694824
0.6,non-BSA,COOH,0.0,-32.92413377761841,9.47551586071346,0.0
0.6,non-BSA,COOH,1.0,-45.708039919535324,4.818111655673069,-12.783906141916916
0.6,non-BSA,COOH,2.0,-45.84367497762044,3.303818630404663,-12.91954120000203
0.6,non-BSA,COOH,3.0,-36.80393282572428,7.31024798263638,-3.8797990481058733
0.6,non-BSA,COOH,4.0,-35.571895599365234,3.996104780076682,-2.647761821746826
0.6,non-BSA,COOH,5.0,-31.44377263387044,6.835123018810538,1.4803611437479667
0.6,non-BSA,COOH,6.0,-23.164037704467773,6.071238256284547,9.760096073150635
0.6,non-BSA,COOH,7.5,-24.99527359008789,6.40251212445276,7.928860187530518
0.6,non-BSA,COOH,9.0,-38.44121742248535,5.928338206934556,-5.517083644866943
0.6,non-BSA,COOH,10.5,-21.971584955851238,6.894089129957828,10.95254882176717
0.6,non-BSA,COOH,12.0,-20.92197036743164,8.443433052007844,12.002163410186768
0.6,non-BSA,COOH,21.5,-33.285438537597656,9.811446965914083,-0.36130475997924805
0.6,non-BSA,PEG,0.0,-0.7211298942565918,5.461675288424261,0.0
0.6,non-BSA,PEG,1.0,-27.079181035359703,8.067122635493286,-26.35805114110311
0.6,non-BSA,PEG,2.0,-20.077497164408367,9.495585046341018,-19.356367270151775
0.6,non-BSA,PEG,3.0,-23.588430404663086,12.607443854887718,-22.867300510406494
0.6,non-BSA,PEG,4.0,-21.356266657511394,4.61067395336514,-20.635136763254803
0.6,non-BSA,PEG,5.0,-31.206544558207195,6.289435649186734,-30.485414663950603
0.6,non-BSA,PEG,6.0,-33.84159723917643,2.8069157974943453,-33.12046734491984
0.6,non-BSA,PEG,7.5,-13.731627146402994,8.578103163015056,-13.010497252146402
0.6,non-BSA,PEG,9.0,-39.636507987976074,4.7006612672694414,-38.91537809371948
0.6,non-BSA,PEG,10.5,-28.98668098449707,5.173974238534659,-28.26555109024048
0.6,non-BSA,PEG,12.0,-13.104869842529297,9.772009171982205,-12.383739948272705
0.6,non-BSA,PEG,21.5,-23.215155919392902,7.237091538522846,-22.49402602513631
