idx,front_px,centroid_px,mass,n_px
0,76.0,66.06219494577562,4494.490234375,436
1,64.0,95.38936252124802,4274.29443359375,436
2,21.0,135.89810190059586,13679.1240234375,436
3,144.0,194.37808855392072,12644.1982421875,436
4,177.0,173.78052875729387,1002.7294311523438,436
5,178.0,195.97547361731878,1028.0394287109375,436
6,18.0,145.59140618858547,14087.4384765625,436
7,19.0,151.74081703020474,10864.1103515625,436
8,152.0,250.9305674778258,1411.965576171875,436
9,251.0,327.2362661589298,1203.087890625,436
10,17.0,157.73124530374025,16342.01953125,436
11,22.0,163.40507112014234,14983.5966796875,436
12,6.0,64.28860879516382,4430.39111328125,436
13,435.0,388.5188688258752,16257.3896484375,436
14,88.0,71.92482261100527,5272.0107421875,436
15,19.0,135.64117138258706,12712.2763671875,436
16,435.0,390.6137199357553,15626.7578125,436
17,16.0,137.9923471439131,12939.640625,436
18,62.0,95.31052175588265,4930.9580078125,436
19,23.0,153.17479558874427,13233.359375,436
20,133.0,178.65658076772482,6984.18359375,436
21,80.0,145.54961018114668,5923.29833984375,436
22,112.0,171.41326372712632,7522.47265625,436
23,24.0,141.23639553495917,12773.216796875,436
24,129.0,147.7985833907695,10058.79296875,436
25,18.0,127.07043012090276,12510.4375,436
26,172.0,169.71142468824925,14432.494140625,436
27,163.0,167.3951729058575,11571.40234375,436
28,192.0,163.09351965283923,13579.8603515625,436
29,375.0,165.61505469100132,14322.6083984375,436
30,178.0,202.88062008418103,9577.6328125,436
31,19.0,167.61508794159434,13436.185546875,436
32,11.0,165.02542875209997,7064.5302734375,436
33,140.0,182.1505592801933,7800.3916015625,436
34,111.0,167.78179336219517,6849.1357421875,436
35,172.0,184.9199922291371,10355.73828125,436
36,186.0,157.9909786120154,15409.5673828125,436
37,140.0,162.9554017143312,12778.6787109375,436
38,20.0,159.89584403203406,17203.9375,436
39,153.0,166.65085304913734,11878.185546875,436
40,113.0,111.15474903403872,7484.4990234375,436
41,377.0,167.6718534221633,14066.736328125,436
42,171.0,200.78225730918805,9068.046875,436
43,134.0,194.8488095315124,10862.072265625,436
44,14.0,147.11195795989195,6491.60791015625,436
45,139.0,164.33085377305173,5823.0849609375,436
46,17.0,137.04646155982192,9270.068359375,436
47,143.0,175.7872817255194,8062.986328125,436
48,149.0,158.85799886698592,13473.572265625,436
49,133.0,163.54609104092975,10857.7353515625,436
50,213.0,174.70433998827266,15860.3974609375,436
51,183.0,171.99670041393756,11619.69140625,436
52,124.0,86.34036201982707,4257.63916015625,436
53,378.0,170.88873989657685,13538.8330078125,436
54,22.0,156.97508101732225,11706.6767578125,436
55,22.0,163.45312424958843,14447.2314453125,436
56,263.0,211.4103235446429,6611.517578125,436
57,113.0,256.80688899953344,10336.462890625,436
58,118.0,184.79051897465772,8547.53515625,436
59,175.0,190.88077298614266,11018.1474609375,436
60,105.0,175.89739819679582,11793.2802734375,436
61,81.0,181.99631507665583,11148.3984375,436
