path,timepoint_hr,capture_time,shot_order,gap_s
0 hrs (After injection and after initial magnet placement)/PXL_20260823_150444727.jpg,0.0,2026-08-23 15:04:44.727,1,
0 hrs (After injection and after initial magnet placement)/PXL_20260823_150530620.jpg,0.0,2026-08-23 15:05:30.620,2,45.893
0 hrs (After injection and after initial magnet placement)/PXL_20260823_150647433.jpg,0.0,2026-08-23 15:06:47.433,3,76.813
0 hrs (After injection and after initial magnet placement)/PXL_20260823_150805441.jpg,0.0,2026-08-23 15:08:05.441,4,78.008
0 hrs (After injection and after initial magnet placement)/PXL_20260823_150916073.jpg,0.0,2026-08-23 15:09:16.073,5,70.632
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151002650.jpg,0.0,2026-08-23 15:10:02.650,6,46.577
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151105130.jpg,0.0,2026-08-23 15:11:05.130,7,62.48
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151137798.jpg,0.0,2026-08-23 15:11:37.798,8,32.668
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151318216.jpg,0.0,2026-08-23 15:13:18.216,9,100.418
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151409432.jpg,0.0,2026-08-23 15:14:09.432,10,51.216
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151455298.jpg,0.0,2026-08-23 15:14:55.298,11,45.866
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151537196.jpg,0.0,2026-08-23 15:15:37.196,12,41.898
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151619099.jpg,0.0,2026-08-23 15:16:19.099,13,41.903
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151656225.jpg,0.0,2026-08-23 15:16:56.225,14,37.126
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151736594.jpg,0.0,2026-08-23 15:17:36.594,15,40.369
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151815806.jpg,0.0,2026-08-23 15:18:15.806,16,39.212
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180522149.jpg,0.0,2026-08-25 18:05:22.149,17,182826.343
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180606440.jpg,0.0,2026-08-25 18:06:06.440,18,44.291
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180702735.jpg,0.0,2026-08-25 18:07:02.735,19,56.295
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180758849.jpg,0.0,2026-08-25 18:07:58.849,20,56.114
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180842914.jpg,0.0,2026-08-25 18:08:42.914,21,44.065
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180924477.jpg,0.0,2026-08-25 18:09:24.477,22,41.563
