path,timepoint_hr,capture_time,shot_order,gap_s,v_sticker,v_coating,v_sample,v_magnet,v_magnet_size,v_conf,v_notes,date,idx,coating,sample,arm,series
0 hrs (After injection and after initial magnet placement)/PXL_20260823_150444727.jpg,0.0,2026-08-23 15:04:44.727,1,,0.4 NO BSA PEG L1,PEG,L1,none,,high,,2026-08-23,0,PEG,L1,large,PEG_L1
0 hrs (After injection and after initial magnet placement)/PXL_20260823_150530620.jpg,0.0,2026-08-23 15:05:30.620,2,45.893,0.4 NO BSA PEG L2,PEG,L2,none,,high,,2026-08-23,1,PEG,L2,large,PEG_L2
0 hrs (After injection and after initial magnet placement)/PXL_20260823_150647433.jpg,0.0,2026-08-23 15:06:47.433,3,76.813,0.4 NO BSA PEG S1,PEG,S1,none,,high,,2026-08-23,2,PEG,S1,small,PEG_S1
0 hrs (After injection and after initial magnet placement)/PXL_20260823_150805441.jpg,0.0,2026-08-23 15:08:05.441,4,78.008,0.4 NO BSA PEG S2,PEG,S2,none,,high,,2026-08-23,3,PEG,S2,small,PEG_S2
0 hrs (After injection and after initial magnet placement)/PXL_20260823_150916073.jpg,0.0,2026-08-23 15:09:16.073,5,70.632,0.4 NO BSA COOH L1,COOH,L1,none,,high,,2026-08-23,4,COOH,L1,large,COOH_L1
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151002650.jpg,0.0,2026-08-23 15:10:02.650,6,46.577,0.4 NO BSA COOH L2,COOH,L2,none,,high,,2026-08-23,5,COOH,L2,large,COOH_L2
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151105130.jpg,0.0,2026-08-23 15:11:05.130,7,62.48,0.4 NO BSA COOH S1,COOH,S1,none,,high,,2026-08-23,6,COOH,S1,small,COOH_S1
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151137798.jpg,0.0,2026-08-23 15:11:37.798,8,32.668,0.4 NO BSA COOH S2,COOH,S2,none,,high,,2026-08-23,7,COOH,S2,small,COOH_S2
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151318216.jpg,0.0,2026-08-23 15:13:18.216,9,100.418,0.4 NO BSA PEG L1,PEG,L1,present,large,high,,2026-08-23,8,PEG,L1,large,PEG_L1
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151409432.jpg,0.0,2026-08-23 15:14:09.432,10,51.216,0.4 NO BSA PEG L2,PEG,L2,present,large,high,,2026-08-23,9,PEG,L2,large,PEG_L2
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151455298.jpg,0.0,2026-08-23 15:14:55.298,11,45.866,0.4 NO BSA PEG S1,PEG,S1,present,small,high,,2026-08-23,10,PEG,S1,small,PEG_S1
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151537196.jpg,0.0,2026-08-23 15:15:37.196,12,41.898,0.4 NO BSA PEG S2,PEG,S2,present,small,high,magnet width initially looked ambiguous vs large; confirmed small by comparing against duplicate photo idx 0031 of same sample,2026-08-23,11,PEG,S2,small,PEG_S2
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151619099.jpg,0.0,2026-08-23 15:16:19.099,13,41.903,0.4 NO BSA COOH L1,COOH,L1,present,large,high,,2026-08-23,12,COOH,L1,large,COOH_L1
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151656225.jpg,0.0,2026-08-23 15:16:56.225,14,37.126,0.4 NO BSA COOH L2,COOH,L2,present,large,high,,2026-08-23,13,COOH,L2,large,COOH_L2
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151736594.jpg,0.0,2026-08-23 15:17:36.594,15,40.369,0.4 NO BSA COOH S1,COOH,S1,present,small,high,,2026-08-23,14,COOH,S1,small,COOH_S1
0 hrs (After injection and after initial magnet placement)/PXL_20260823_151815806.jpg,0.0,2026-08-23 15:18:15.806,16,39.212,0.4 NO BSA COOH S2,COOH,S2,present,small,high,,2026-08-23,15,COOH,S2,small,COOH_S2
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180522149.jpg,0.0,2026-08-25 18:05:22.149,17,182826.343,0.4 NO BSA PEG L3,PEG,L3,none,,high,,2026-08-25,16,PEG,L3,large,PEG_L3
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180606440.jpg,0.0,2026-08-25 18:06:06.440,18,44.291,0.4 NO BSA PEG S3,PEG,S3,none,,high,,2026-08-25,17,PEG,S3,small,PEG_S3
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180702735.jpg,0.0,2026-08-25 18:07:02.735,19,56.295,0.4 NO BSA COOH L3,COOH,L3,none,,high,,2026-08-25,18,COOH,L3,large,COOH_L3
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180758849.jpg,0.0,2026-08-25 18:07:58.849,20,56.114,0.4 NO BSA COOH S3,COOH,S3,none,,high,,2026-08-25,19,COOH,S3,small,COOH_S3
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180842914.jpg,0.0,2026-08-25 18:08:42.914,21,44.065,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,20,PEG,control,control,PEG_control
0 hrs (After injection and after initial magnet placement)/PXL_20260825_180924477.jpg,0.0,2026-08-25 18:09:24.477,22,41.563,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,21,COOH,control,control,COOH_control
0 hrs (After injection and after initial magnet placement)/PXL_20260825_183231004.jpg,0.0,2026-08-25 18:32:31.004,23,1386.527,0.4 NO BSA PEG L3,PEG,L3,present,large,high,,2026-08-25,22,PEG,L3,large,PEG_L3
0 hrs (After injection and after initial magnet placement)/PXL_20260825_183315626.jpg,0.0,2026-08-25 18:33:15.626,24,44.622,0.4 NO BSA PEG S3,PEG,S3,present,small,high,,2026-08-25,23,PEG,S3,small,PEG_S3
0 hrs (After injection and after initial magnet placement)/PXL_20260825_183414148.jpg,0.0,2026-08-25 18:34:14.148,25,58.522,0.4 NO BSA COOH L3,COOH,L3,present,large,high,,2026-08-25,24,COOH,L3,large,COOH_L3
0 hrs (After injection and after initial magnet placement)/PXL_20260825_183527772.jpg,0.0,2026-08-25 18:35:27.772,26,73.624,0.4 NO BSA COOH S3,COOH,S3,present,small,high,,2026-08-25,25,COOH,S3,small,COOH_S3
0 hrs (After injection and after initial magnet placement)/PXL_20260825_183601175.jpg,0.0,2026-08-25 18:36:01.175,27,33.403,0.4 Control NO BSA PEG,PEG,control,none,,high,,2026-08-25,26,PEG,control,control,PEG_control
0 hrs (After injection and after initial magnet placement)/PXL_20260825_184006099.jpg,0.0,2026-08-25 18:40:06.099,28,244.924,0.4 Control NO BSA COOH,COOH,control,none,,high,,2026-08-25,27,COOH,control,control,COOH_control
0.5 hrs/PXL_20260823_154333567.jpg,0.5,2026-08-23 15:43:33.567,1,,0.4 NO BSA PEG L1,PEG,L1,present,large,high,,2026-08-23,28,PEG,L1,large,PEG_L1
0.5 hrs/PXL_20260823_154418195.jpg,0.5,2026-08-23 15:44:18.195,2,44.628,0.4 NO BSA PEG L2,PEG,L2,present,large,high,,2026-08-23,29,PEG,L2,large,PEG_L2
0.5 hrs/PXL_20260823_154450646.jpg,0.5,2026-08-23 15:44:50.646,3,32.451,0.4 NO BSA PEG S1,PEG,S1,present,small,high,,2026-08-23,30,PEG,S1,small,PEG_S1
0.5 hrs/PXL_20260823_154538764.jpg,0.5,2026-08-23 15:45:38.764,4,48.118,0.4 NO BSA PEG S2,PEG,S2,present,small,high,,2026-08-23,31,PEG,S2,small,PEG_S2
0.5 hrs/PXL_20260823_154622360.jpg,0.5,2026-08-23 15:46:22.360,5,43.596,0.4 NO BSA COOH L1,COOH,L1,present,large,high,,2026-08-23,32,COOH,L1,large,COOH_L1
