path,geometry,timepoint_hr,capture_time,shot_order,gap_s
0.6 CENTER/0 hrs after magnet/PXL_20260826_151358972.jpg,0.6 CENTER,0.0,2026-08-26 15:13:58.972,1,
0.6 CENTER/0 hrs after magnet/PXL_20260826_151452121.jpg,0.6 CENTER,0.0,2026-08-26 15:14:52.121,2,53.149
0.6 CENTER/0 hrs after magnet/PXL_20260826_151531216.jpg,0.6 CENTER,0.0,2026-08-26 15:15:31.216,3,39.095
0.6 CENTER/0 hrs after magnet/PXL_20260826_151626163.jpg,0.6 CENTER,0.0,2026-08-26 15:16:26.163,4,54.947
0.6 CENTER/0 hrs after magnet/PXL_20260826_151707066.jpg,0.6 CENTER,0.0,2026-08-26 15:17:07.066,5,40.903
0.6 CENTER/0 hrs after magnet/PXL_20260826_151743160.jpg,0.6 CENTER,0.0,2026-08-26 15:17:43.160,6,36.094
0.6 CENTER/0 hrs after magnet/PXL_20260826_151816295.jpg,0.6 CENTER,0.0,2026-08-26 15:18:16.295,7,33.135
0.6 CENTER/0 hrs after magnet/PXL_20260826_151915365.jpg,0.6 CENTER,0.0,2026-08-26 15:19:15.365,8,59.07
0.6 CENTER/0 hrs after magnet/PXL_20260826_152006635.jpg,0.6 CENTER,0.0,2026-08-26 15:20:06.635,9,51.27
0.6 CENTER/0 hrs after magnet/PXL_20260826_152118182.jpg,0.6 CENTER,0.0,2026-08-26 15:21:18.182,10,71.547
0.6 CENTER/0 hrs after magnet/PXL_20260826_152205398.jpg,0.6 CENTER,0.0,2026-08-26 15:22:05.398,11,47.216
0.6 CENTER/0 hrs after magnet/PXL_20260826_152245462.jpg,0.6 CENTER,0.0,2026-08-26 15:22:45.462,12,40.064
0.6 CENTER/0 hrs after magnet/PXL_20260826_152616632.jpg,0.6 CENTER,0.0,2026-08-26 15:26:16.632,13,211.17
0.6 CENTER/0 hrs after magnet/PXL_20260826_152651538.jpg,0.6 CENTER,0.0,2026-08-26 15:26:51.538,14,34.906
0.6 CENTER/0 hrs after magnet/PXL_20260826_152720564.jpg,0.6 CENTER,0.0,2026-08-26 15:27:20.564,15,29.026
