path,agarose,bsa,timepoint_hr,capture_time,shot_order,gap_s,v_sticker,v_coating,v_bsa,v_agarose,v_control,v_tally,v_magnet,v_magnet_size,v_conf,v_notes,idx,dropped_dup,agarose_f,bsa_f,coating_f,control_f,magnet_f,tally_f,duplicate_shot,tally_certainty,tally_changed,gap,burst,tally_conflict,low_conf,arm,series
0.4 BACK/BSA /0 hrs/PXL_20260827_105952935.jpg,0.4,BSA,0.0,2026-08-27 10:59:52.935,1,,0.4 BSA PEG,PEG,True,0.4,False,1,none,,high,,0,False,0.4,BSA,PEG,False,none,1,False,high,False,,1,False,False,magnet,0.4_BSA_PEG_magnet_r1
0.4 BACK/BSA /0 hrs/PXL_20260827_110002745.jpg,0.4,BSA,0.0,2026-08-27 11:00:02.745,2,9.81,0.4 BSA PEG,PEG,True,0.4,False,1,present,large,high,,1,False,0.4,BSA,PEG,False,present,1,False,high,False,9.81,1,False,False,magnet,0.4_BSA_PEG_magnet_r1
0.4 BACK/BSA /0 hrs/PXL_20260827_110019044.jpg,0.4,BSA,0.0,2026-08-27 11:00:19.044,3,16.299,0.4 BSA PEG,PEG,True,0.4,False,2,none,,high,,2,False,0.4,BSA,PEG,False,none,2,False,high,False,16.299,1,False,False,magnet,0.4_BSA_PEG_magnet_r2
0.4 BACK/BSA /0 hrs/PXL_20260827_110034990.jpg,0.4,BSA,0.0,2026-08-27 11:00:34.990,4,15.946,0.4 BSA PEG,PEG,True,0.4,False,2,present,large,high,,3,False,0.4,BSA,PEG,False,present,2,False,high,False,15.946,1,False,False,magnet,0.4_BSA_PEG_magnet_r2
0.4 BACK/BSA /0 hrs/PXL_20260827_110102715.jpg,0.4,BSA,0.0,2026-08-27 11:01:02.715,5,27.725,0.4 BSA PEG,PEG,True,0.4,False,3,none,,high,,4,False,0.4,BSA,PEG,False,none,3,False,high,False,27.725,1,False,False,magnet,0.4_BSA_PEG_magnet_r3
0.4 BACK/BSA /0 hrs/PXL_20260827_110116866.jpg,0.4,BSA,0.0,2026-08-27 11:01:16.866,6,14.151,0.4 BSA PEG,PEG,True,0.4,False,3,present,large,high,,5,False,0.4,BSA,PEG,False,present,3,False,high,False,14.151,1,False,False,magnet,0.4_BSA_PEG_magnet_r3
0.4 BACK/BSA /0 hrs/PXL_20260827_110153818.jpg,0.4,BSA,0.0,2026-08-27 11:01:53.818,7,36.952,0.4 BSA COOH,COOH,True,0.4,False,2,none,,high,,6,False,0.4,BSA,COOH,False,none,2,False,high,False,36.952,1,False,False,magnet,0.4_BSA_COOH_magnet_r2
0.4 BACK/BSA /0 hrs/PXL_20260827_110206745.jpg,0.4,BSA,0.0,2026-08-27 11:02:06.745,8,12.927,0.4 BSA COOH,COOH,True,0.4,False,2,present,large,high,,7,False,0.4,BSA,COOH,False,present,2,False,high,False,12.927,1,False,False,magnet,0.4_BSA_COOH_magnet_r2
0.4 BACK/BSA /0 hrs/PXL_20260827_110231153.jpg,0.4,BSA,0.0,2026-08-27 11:02:31.153,9,24.408,0.4 BSA COOH,COOH,True,0.4,False,1,none,,high,,8,False,0.4,BSA,COOH,False,none,1,False,high,False,24.408,1,False,False,magnet,0.4_BSA_COOH_magnet_r1
0.4 BACK/BSA /0 hrs/PXL_20260827_110306442.jpg,0.4,BSA,0.0,2026-08-27 11:03:06.442,10,35.289,0.4 BSA COOH,COOH,True,0.4,False,1,present,large,high,,9,False,0.4,BSA,COOH,False,present,1,False,high,False,35.289,1,False,False,magnet,0.4_BSA_COOH_magnet_r1
