path,agarose,bsa,timepoint_hr,capture_time,shot_order,gap_s
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183335799.jpg,0.4,BSA,7.5,2026-08-27 18:33:35.799,1,
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183350966.jpg,0.4,BSA,7.5,2026-08-27 18:33:50.966,2,15.167
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183407031.jpg,0.4,BSA,7.5,2026-08-27 18:34:07.031,3,16.065
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183425721.jpg,0.4,BSA,7.5,2026-08-27 18:34:25.721,4,18.69
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183440589.jpg,0.4,BSA,7.5,2026-08-27 18:34:40.589,5,14.868
0.4 BACK/BSA /7.5 hrs/PXL_20260827_183456913.jpg,0.4,BSA,7.5,2026-08-27 18:34:56.913,6,16.324
0.4 BACK/BSA /7.5 hrs/PXL_20260827_185057116.jpg,0.4,BSA,7.5,2026-08-27 18:50:57.116,7,960.203
0.4 BACK/BSA /7.5 hrs/PXL_20260827_185112846.jpg,0.4,BSA,7.5,2026-08-27 18:51:12.846,8,15.73
0.4 BACK/BSA /7.5 hrs/PXL_20260827_185129607.jpg,0.4,BSA,7.5,2026-08-27 18:51:29.607,9,16.761
0.4 BACK/BSA /7.5 hrs/PXL_20260827_185224090.jpg,0.4,BSA,7.5,2026-08-27 18:52:24.090,10,54.483
0.4 BACK/BSA /7.5 hrs/PXL_20260827_185240007.jpg,0.4,BSA,7.5,2026-08-27 18:52:40.007,11,15.917
0.4 BACK/BSA /7.5 hrs/PXL_20260827_185301146.jpg,0.4,BSA,7.5,2026-08-27 18:53:01.146,12,21.139
0.4 BACK/BSA /9 hrs/PXL_20260827_202008369.jpg,0.4,BSA,9.0,2026-08-27 20:20:08.369,1,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_213055749.jpg,0.4,BSA,10.5,2026-08-27 21:30:55.749,1,
0.4 BACK/BSA /10.5 hrs/PXL_20260827_214140704.jpg,0.4,BSA,10.5,2026-08-27 21:41:40.704,2,644.955
0.4 BACK/BSA /21.5 hrs/PXL_20260828_082806000.jpg,0.4,BSA,21.5,2026-08-28 08:28:06.000,1,
0.4 BACK/BSA /21.5 hrs/PXL_20260828_082842334.jpg,0.4,BSA,21.5,2026-08-28 08:28:42.334,2,36.334
0.4 BACK/BSA /21.5 hrs/PXL_20260828_082921987.jpg,0.4,BSA,21.5,2026-08-28 08:29:21.987,3,39.653
0.4 BACK/BSA /21.5 hrs/PXL_20260828_083009673.jpg,0.4,BSA,21.5,2026-08-28 08:30:09.673,4,47.686
0.4 BACK/BSA /21.5 hrs/PXL_20260828_083120420.jpg,0.4,BSA,21.5,2026-08-28 08:31:20.420,5,70.747
0.4 BACK/BSA /21.5 hrs/PXL_20260828_083151570.jpg,0.4,BSA,21.5,2026-08-28 08:31:51.570,6,31.15
