idx,path,status
0,0 hrs (After injection and after initial magnet placement)/PXL_20260823_150444727.jpg,ok
1,0 hrs (After injection and after initial magnet placement)/PXL_20260823_150530620.jpg,ok
2,0 hrs (After injection and after initial magnet placement)/PXL_20260823_150647433.jpg,ok
3,0 hrs (After injection and after initial magnet placement)/PXL_20260823_150805441.jpg,ok
4,0 hrs (After injection and after initial magnet placement)/PXL_20260823_150916073.jpg,ok
5,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151002650.jpg,ok
6,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151105130.jpg,ok
7,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151137798.jpg,ok
8,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151318216.jpg,ok
9,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151409432.jpg,ok
10,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151455298.jpg,ok
11,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151537196.jpg,ok
12,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151619099.jpg,ok
13,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151656225.jpg,ok
14,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151736594.jpg,ok
15,0 hrs (After injection and after initial magnet placement)/PXL_20260823_151815806.jpg,ok
16,0 hrs (After injection and after initial magnet placement)/PXL_20260825_180522149.jpg,ok
17,0 hrs (After injection and after initial magnet placement)/PXL_20260825_180606440.jpg,ok
18,0 hrs (After injection and after initial magnet placement)/PXL_20260825_180702735.jpg,ok
19,0 hrs (After injection and after initial magnet placement)/PXL_20260825_180758849.jpg,ok
20,0 hrs (After injection and after initial magnet placement)/PXL_20260825_180842914.jpg,ok
21,0 hrs (After injection and after initial magnet placement)/PXL_20260825_180924477.jpg,ok
22,0 hrs (After injection and after initial magnet placement)/PXL_20260825_183231004.jpg,ok
23,0 hrs (After injection and after initial magnet placement)/PXL_20260825_183315626.jpg,ok
24,0 hrs (After injection and after initial magnet placement)/PXL_20260825_183414148.jpg,ok
25,0 hrs (After injection and after initial magnet placement)/PXL_20260825_183527772.jpg,ok
26,0 hrs (After injection and after initial magnet placement)/PXL_20260825_183601175.jpg,ok
27,0 hrs (After injection and after initial magnet placement)/PXL_20260825_184006099.jpg,ok
28,0.5 hrs/PXL_20260823_154333567.jpg,ok
29,0.5 hrs/PXL_20260823_154418195.jpg,ok
30,0.5 hrs/PXL_20260823_154450646.jpg,ok
31,0.5 hrs/PXL_20260823_154538764.jpg,ok
32,0.5 hrs/PXL_20260823_154622360.jpg,ok
33,0.5 hrs/PXL_20260823_154712965.jpg,ok
