idx,path,status,n_tally
0,0.6 CENTER/0 hrs after magnet/PXL_20260826_151358972.jpg,ok,9
1,0.6 CENTER/0 hrs after magnet/PXL_20260826_151452121.jpg,ok,7
2,0.6 CENTER/0 hrs after magnet/PXL_20260826_151531216.jpg,ok,11
3,0.6 CENTER/0 hrs after magnet/PXL_20260826_151626163.jpg,ok,8
4,0.6 CENTER/0 hrs after magnet/PXL_20260826_151707066.jpg,ok,8
5,0.6 CENTER/0 hrs after magnet/PXL_20260826_151743160.jpg,ok,9
6,0.6 CENTER/0 hrs after magnet/PXL_20260826_151816295.jpg,ok,8
7,0.6 CENTER/0 hrs after magnet/PXL_20260826_151915365.jpg,ok,9
8,0.6 CENTER/0 hrs after magnet/PXL_20260826_152006635.jpg,ok,9
9,0.6 CENTER/0 hrs after magnet/PXL_20260826_152118182.jpg,ok,9
10,0.6 CENTER/0 hrs after magnet/PXL_20260826_152205398.jpg,ok,12
11,0.6 CENTER/0 hrs after magnet/PXL_20260826_152245462.jpg,ok,8
12,0.6 CENTER/0 hrs after magnet/PXL_20260826_152616632.jpg,ok,6
13,0.6 CENTER/0 hrs after magnet/PXL_20260826_152651538.jpg,ok,5
14,0.6 CENTER/0 hrs after magnet/PXL_20260826_152720564.jpg,ok,6
15,0.6 CENTER/0 hrs after magnet/PXL_20260826_152748382.jpg,ok,6
16,0.6 CENTER/0.5 hrs/PXL_20260826_153730995.jpg,ok,9
17,0.6 CENTER/0.5 hrs/PXL_20260826_153804515.jpg,ok,12
18,0.6 CENTER/0.5 hrs/PXL_20260826_153836786.jpg,ok,12
19,0.6 CENTER/0.5 hrs/PXL_20260826_153904104.jpg,ok,8
20,0.6 CENTER/0.5 hrs/PXL_20260826_153926775.jpg,ok,9
21,0.6 CENTER/0.5 hrs/PXL_20260826_153946681.jpg,ok,13
22,0.6 CENTER/0.5 hrs/PXL_20260826_154021800.jpg,ok,9
23,0.6 CENTER/0.5 hrs/PXL_20260826_154041860.jpg,ok,9
24,0.6 CENTER/0.5 hrs/PXL_20260826_154056201.jpg,ok,8
25,0.6 CENTER/0.5 hrs/PXL_20260826_154126780.jpg,ok,9
26,0.6 CENTER/0.5 hrs/PXL_20260826_154151451.jpg,ok,10
27,0.6 CENTER/0.5 hrs/PXL_20260826_154228611.jpg,ok,8
28,0.6 CENTER/0.5 hrs/PXL_20260826_154451171.jpg,ok,6
29,0.6 CENTER/0.5 hrs/PXL_20260826_154509670.jpg,ok,5
30,0.6 CENTER/0.5 hrs/PXL_20260826_154529883.jpg,ok,6
31,0.6 CENTER/0.5 hrs/PXL_20260826_154552852.jpg,ok,6
32,0.6 CENTER/1 hr/PXL_20260826_161121250.jpg,ok,7
33,0.6 CENTER/1 hr/PXL_20260826_161155530.jpg,ok,9
34,0.6 CENTER/1 hr/PXL_20260826_161255736.jpg,ok,11
35,0.6 CENTER/1 hr/PXL_20260826_161341772.jpg,ok,11
36,0.6 CENTER/1 hr/PXL_20260826_161416369.jpg,ok,9
37,0.6 CENTER/1 hr/PXL_20260826_161455744.jpg,ok,9
38,0.6 CENTER/1 hr/PXL_20260826_161543682.jpg,ok,7
39,0.6 CENTER/1 hr/PXL_20260826_161610922.jpg,ok,10
40,0.6 CENTER/1 hr/PXL_20260826_161640991.jpg,ok,8
41,0.6 CENTER/1 hr/PXL_20260826_161718270.jpg,ok,9
42,0.6 CENTER/1 hr/PXL_20260826_161751094.jpg,ok,9
43,0.6 CENTER/1 hr/PXL_20260826_161826907.jpg,ok,8
44,0.6 CENTER/1 hr/PXL_20260826_162235029.jpg,ok,6
45,0.6 CENTER/1 hr/PXL_20260826_162301845.jpg,ok,6
46,0.6 CENTER/1 hr/PXL_20260826_162334174.jpg,ok,6
47,0.6 CENTER/1 hr/PXL_20260826_162357799.jpg,ok,7
48,0.6 CENTER/1.5 hrs/PXL_20260826_163733925.jpg,ok,8
49,0.6 CENTER/1.5 hrs/PXL_20260826_163754148.jpg,ok,9
50,0.6 CENTER/1.5 hrs/PXL_20260826_163828049.jpg,ok,12
51,0.6 CENTER/1.5 hrs/PXL_20260826_163848822.jpg,ok,10
52,0.6 CENTER/1.5 hrs/PXL_20260826_163910370.jpg,ok,7
53,0.6 CENTER/1.5 hrs/PXL_20260826_163937630.jpg,ok,10
54,0.6 CENTER/1.5 hrs/PXL_20260826_164001581.jpg,ok,8
55,0.6 CENTER/1.5 hrs/PXL_20260826_164021421.jpg,ok,9
56,0.6 CENTER/1.5 hrs/PXL_20260826_164040938.jpg,ok,7
57,0.6 CENTER/1.5 hrs/PXL_20260826_164103754.jpg,ok,9
58,0.6 CENTER/1.5 hrs/PXL_20260826_164134072.jpg,ok,8
59,0.6 CENTER/1.5 hrs/PXL_20260826_164218694.jpg,ok,11
60,0.6 CENTER/1.5 hrs/PXL_20260826_164428849.jpg,ok,6
61,0.6 CENTER/1.5 hrs/PXL_20260826_164505612.jpg,ok,6
62,0.6 CENTER/1.5 hrs/PXL_20260826_164533473.jpg,ok,6
63,0.6 CENTER/1.5 hrs/PXL_20260826_164603003.jpg,ok,6
64,0.6 CENTER/2 hrs/PXL_20260826_170716822.jpg,ok,9
65,0.6 CENTER/2 hrs/PXL_20260826_170742026.jpg,ok,11
66,0.6 CENTER/2 hrs/PXL_20260826_170828401.jpg,ok,10
67,0.6 CENTER/2 hrs/PXL_20260826_170921021.jpg,ok,7
68,0.6 CENTER/2 hrs/PXL_20260826_171000056.jpg,ok,10
69,0.6 CENTER/2 hrs/PXL_20260826_171037601.jpg,ok,9
70,0.6 CENTER/2 hrs/PXL_20260826_171112449.jpg,ok,8
71,0.6 CENTER/2 hrs/PXL_20260826_171148701.jpg,ok,10
72,0.6 CENTER/2 hrs/PXL_20260826_171215245.jpg,ok,8
73,0.6 CENTER/2 hrs/PXL_20260826_171250000.jpg,ok,9
74,0.6 CENTER/2 hrs/PXL_20260826_171322536.jpg,ok,8
75,0.6 CENTER/2 hrs/PXL_20260826_171404200.jpg,ok,10
76,0.6 CENTER/2 hrs/PXL_20260826_171926790.jpg,ok,6
77,0.6 CENTER/2 hrs/PXL_20260826_171957019.jpg,ok,6
78,0.6 CENTER/2 hrs/PXL_20260826_172018062.jpg,ok,7
79,0.6 CENTER/2 hrs/PXL_20260826_172337574.jpg,ok,6
80,0.6 CENTER/2.5 hrs/PXL_20260826_174757278.jpg,ok,7
81,0.6 CENTER/2.5 hrs/PXL_20260826_174902987.jpg,ok,11
82,0.6 CENTER/2.5 hrs/PXL_20260826_174950346.jpg,ok,13
83,0.6 CENTER/2.5 hrs/PXL_20260826_175039786.jpg,ok,9
84,0.6 CENTER/2.5 hrs/PXL_20260826_175123358.jpg,ok,13
85,0.6 CENTER/2.5 hrs/PXL_20260826_175232350.jpg,ok,11
86,0.6 CENTER/2.5 hrs/PXL_20260826_175251478.jpg,ok,11
87,0.6 CENTER/2.5 hrs/PXL_20260826_175332943.jpg,ok,8
88,0.6 CENTER/2.5 hrs/PXL_20260826_175432703.jpg,ok,8
89,0.6 CENTER/2.5 hrs/PXL_20260826_175515504.jpg,ok,9
90,0.6 CENTER/2.5 hrs/PXL_20260826_175557361.jpg,ok,10
91,0.6 CENTER/2.5 hrs/PXL_20260826_175750917.jpg,ok,8
92,0.6 CENTER/2.5 hrs/PXL_20260826_175836441.jpg,ok,11
93,0.6 CENTER/2.5 hrs/PXL_20260826_180358557.jpg,ok,6
94,0.6 CENTER/2.5 hrs/PXL_20260826_180439064.jpg,ok,6
95,0.6 CENTER/2.5 hrs/PXL_20260826_180515007.jpg,ok,6
96,0.6 CENTER/2.5 hrs/PXL_20260826_180541433.jpg,ok,6
97,0.6 CENTER/3 hrs/PXL_20260826_181300941.jpg,ok,8
98,0.6 CENTER/3 hrs/PXL_20260826_181326307.jpg,ok,10
99,0.6 CENTER/3 hrs/PXL_20260826_181346650.jpg,ok,11
100,0.6 CENTER/3 hrs/PXL_20260826_181409034.jpg,ok,9
101,0.6 CENTER/3 hrs/PXL_20260826_181431137.jpg,ok,11
102,0.6 CENTER/3 hrs/PXL_20260826_181500160.jpg,ok,10
103,0.6 CENTER/3 hrs/PXL_20260826_181525861.jpg,ok,8
104,0.6 CENTER/3 hrs/PXL_20260826_181544465.jpg,ok,9
105,0.6 CENTER/3 hrs/PXL_20260826_181631408.jpg,ok,9
106,0.6 CENTER/3 hrs/PXL_20260826_181722313.jpg,ok,9
107,0.6 CENTER/3 hrs/PXL_20260826_181746855.jpg,ok,7
108,0.6 CENTER/3 hrs/PXL_20260826_181812179.jpg,ok,10
109,0.6 CENTER/3 hrs/PXL_20260826_182037197.jpg,ok,6
110,0.6 CENTER/3 hrs/PXL_20260826_182109829.jpg,ok,6
111,0.6 CENTER/3 hrs/PXL_20260826_182132801.jpg,ok,6
112,0.6 CENTER/3 hrs/PXL_20260826_182159108.jpg,ok,6
113,0.6 CENTER/3.5 hrs/PXL_20260826_183920827.jpg,ok,10
114,0.6 CENTER/3.5 hrs/PXL_20260826_183950969.jpg,ok,14
115,0.6 CENTER/3.5 hrs/PXL_20260826_184006708.jpg,ok,12
116,0.6 CENTER/3.5 hrs/PXL_20260826_184026617.jpg,ok,9
117,0.6 CENTER/3.5 hrs/PXL_20260826_184052578.jpg,ok,8
118,0.6 CENTER/3.5 hrs/PXL_20260826_184114875.jpg,ok,11
119,0.6 CENTER/3.5 hrs/PXL_20260826_184153179.jpg,ok,9
120,0.6 CENTER/3.5 hrs/PXL_20260826_184217135.jpg,ok,9
121,0.6 CENTER/3.5 hrs/PXL_20260826_184248346.jpg,ok,8
122,0.6 CENTER/3.5 hrs/PXL_20260826_184319926.jpg,ok,11
123,0.6 CENTER/3.5 hrs/PXL_20260826_184349008.jpg,ok,7
124,0.6 CENTER/3.5 hrs/PXL_20260826_184415416.jpg,ok,13
125,0.6 CENTER/3.5 hrs/PXL_20260826_184645047.jpg,ok,6
126,0.6 CENTER/3.5 hrs/PXL_20260826_184711323.jpg,ok,6
127,0.6 CENTER/3.5 hrs/PXL_20260826_184736725.jpg,ok,6
128,0.6 CENTER/3.5 hrs/PXL_20260826_184753091.jpg,ok,6
129,0.6 CENTER/4 hrs/PXL_20260826_190958574.jpg,ok,11
130,0.6 CENTER/4 hrs/PXL_20260826_191029940.jpg,ok,9
131,0.6 CENTER/4 hrs/PXL_20260826_191437366.jpg,ok,11
132,0.6 CENTER/4 hrs/PXL_20260826_191500022.jpg,ok,8
133,0.6 CENTER/4 hrs/PXL_20260826_191526286.jpg,ok,9
134,0.6 CENTER/4 hrs/PXL_20260826_191558289.jpg,ok,9
135,0.6 CENTER/4 hrs/PXL_20260826_191644204.jpg,ok,8
136,0.6 CENTER/4 hrs/PXL_20260826_191720478.jpg,ok,10
137,0.6 CENTER/4 hrs/PXL_20260826_191747243.jpg,ok,7
138,0.6 CENTER/4 hrs/PXL_20260826_191817126.jpg,ok,8
139,0.6 CENTER/4 hrs/PXL_20260826_191841531.jpg,ok,7
140,0.6 CENTER/4 hrs/PXL_20260826_191910010.jpg,ok,7
141,0.6 CENTER/4 hrs/PXL_20260826_192214980.jpg,ok,6
142,0.6 CENTER/4 hrs/PXL_20260826_192300653.jpg,ok,7
143,0.6 CENTER/4 hrs/PXL_20260826_192344070.jpg,ok,6
144,0.6 CENTER/4 hrs/PXL_20260826_192453202.jpg,ok,6
145,0.6 CENTER/4.5 hrs/PXL_20260826_193939945.jpg,ok,8
146,0.6 CENTER/4.5 hrs/PXL_20260826_194012857.jpg,ok,11
147,0.6 CENTER/4.5 hrs/PXL_20260826_194049195.jpg,ok,10
148,0.6 CENTER/4.5 hrs/PXL_20260826_194121243.jpg,ok,8
149,0.6 CENTER/4.5 hrs/PXL_20260826_194231859.jpg,ok,14
150,0.6 CENTER/4.5 hrs/PXL_20260826_194301654.jpg,ok,11
151,0.6 CENTER/4.5 hrs/PXL_20260826_194608027.jpg,ok,6
152,0.6 CENTER/4.5 hrs/PXL_20260826_194658720.jpg,ok,9
153,0.6 CENTER/4.5 hrs/PXL_20260826_194732570.jpg,ok,7
154,0.6 CENTER/4.5 hrs/PXL_20260826_194756404.jpg,ok,9
155,0.6 CENTER/4.5 hrs/PXL_20260826_194828954.jpg,ok,8
156,0.6 CENTER/4.5 hrs/PXL_20260826_194921273.jpg,ok,8
157,0.6 CENTER/4.5 hrs/PXL_20260826_195241157.jpg,ok,6
158,0.6 CENTER/4.5 hrs/PXL_20260826_195305380.jpg,ok,6
159,0.6 CENTER/4.5 hrs/PXL_20260826_195346224.jpg,ok,6
160,0.6 CENTER/4.5 hrs/PXL_20260826_195418410.jpg,ok,6
161,0.6 CENTER/5 hrs/PXL_20260826_201335033.jpg,ok,9
162,0.6 CENTER/5 hrs/PXL_20260826_201431200.jpg,ok,10
163,0.6 CENTER/5 hrs/PXL_20260826_201512822.jpg,ok,11
164,0.6 CENTER/5 hrs/PXL_20260826_201606139.jpg,ok,9
165,0.6 CENTER/5 hrs/PXL_20260826_201641574.jpg,ok,9
166,0.6 CENTER/5 hrs/PXL_20260826_201725101.jpg,ok,9
167,0.6 CENTER/5 hrs/PXL_20260826_201810157.jpg,ok,6
168,0.6 CENTER/5 hrs/PXL_20260826_201853317.jpg,ok,10
169,0.6 CENTER/5 hrs/PXL_20260826_201930479.jpg,ok,8
170,0.6 CENTER/5 hrs/PXL_20260826_202002415.jpg,ok,8
171,0.6 CENTER/5 hrs/PXL_20260826_202035829.jpg,ok,7
172,0.6 CENTER/5 hrs/PXL_20260826_202112553.jpg,ok,8
173,0.6 CENTER/5 hrs/PXL_20260826_202350445.jpg,ok,6
174,0.6 CENTER/5 hrs/PXL_20260826_202459405.jpg,ok,6
175,0.6 CENTER/5 hrs/PXL_20260826_202517510.jpg,ok,6
176,0.6 CENTER/5 hrs/PXL_20260826_202536997.jpg,ok,7
177,0.6 CENTER/5.5 hrs/PXL_20260826_204358999.jpg,ok,8
178,0.6 CENTER/5.5 hrs/PXL_20260826_204510170.jpg,ok,11
179,0.6 CENTER/5.5 hrs/PXL_20260826_204610506.jpg,ok,9
180,0.6 CENTER/5.5 hrs/PXL_20260826_204652802.jpg,ok,8
181,0.6 CENTER/5.5 hrs/PXL_20260826_204737771.jpg,ok,9
182,0.6 CENTER/5.5 hrs/PXL_20260826_204809585.jpg,ok,9
183,0.6 CENTER/5.5 hrs/PXL_20260826_204836689.jpg,ok,8
184,0.6 CENTER/5.5 hrs/PXL_20260826_204900330.jpg,ok,8
185,0.6 CENTER/5.5 hrs/PXL_20260826_204928024.jpg,ok,7
186,0.6 CENTER/5.5 hrs/PXL_20260826_204949874.jpg,ok,12
187,0.6 CENTER/5.5 hrs/PXL_20260826_205012206.jpg,ok,7
188,0.6 CENTER/5.5 hrs/PXL_20260826_205042597.jpg,ok,8
189,0.6 CENTER/5.5 hrs/PXL_20260826_205244450.jpg,ok,6
190,0.6 CENTER/5.5 hrs/PXL_20260826_205301892.jpg,ok,8
191,0.6 CENTER/5.5 hrs/PXL_20260826_205322669.jpg,ok,6
192,0.6 CENTER/5.5 hrs/PXL_20260826_205348944.jpg,ok,6
193,0.6 CENTER/6 hrs/PXL_20260826_211356855.jpg,ok,8
194,0.6 CENTER/6 hrs/PXL_20260826_211427203.jpg,ok,11
195,0.6 CENTER/6 hrs/PXL_20260826_211447863.jpg,ok,12
196,0.6 CENTER/6 hrs/PXL_20260826_211517646.jpg,ok,9
197,0.6 CENTER/6 hrs/PXL_20260826_211542690.jpg,ok,9
198,0.6 CENTER/6 hrs/PXL_20260826_211611789.jpg,ok,12
199,0.6 CENTER/6 hrs/PXL_20260826_211642406.jpg,ok,7
200,0.6 CENTER/6 hrs/PXL_20260826_211702516.jpg,ok,10
201,0.6 CENTER/6 hrs/PXL_20260826_211722705.jpg,ok,10
202,0.6 CENTER/6 hrs/PXL_20260826_211741154.jpg,ok,9
203,0.6 CENTER/6 hrs/PXL_20260826_211807434.jpg,ok,8
204,0.6 CENTER/6 hrs/PXL_20260826_211834760.jpg,ok,8
205,0.6 CENTER/6 hrs/PXL_20260826_212115678.jpg,ok,6
206,0.6 CENTER/6 hrs/PXL_20260826_212145360.jpg,ok,6
207,0.6 CENTER/6 hrs/PXL_20260826_212213974.jpg,ok,6
208,0.6 CENTER/6 hrs/PXL_20260826_212258510.jpg,ok,6
