idx,path,status,n_red_boxes
0,0.4 BACK/BSA /0 hrs/PXL_20260827_105952935.jpg,ok,2
1,0.4 BACK/BSA /0 hrs/PXL_20260827_110002745.jpg,ok,4
2,0.4 BACK/BSA /0 hrs/PXL_20260827_110019044.jpg,ok,1
3,0.4 BACK/BSA /0 hrs/PXL_20260827_110034990.jpg,ok,4
4,0.4 BACK/BSA /0 hrs/PXL_20260827_110102715.jpg,ok,6
5,0.4 BACK/BSA /0 hrs/PXL_20260827_110116866.jpg,ok,5
6,0.4 BACK/BSA /0 hrs/PXL_20260827_110153818.jpg,ok,3
7,0.4 BACK/BSA /0 hrs/PXL_20260827_110206745.jpg,ok,6
8,0.4 BACK/BSA /0 hrs/PXL_20260827_110231153.jpg,ok,2
9,0.4 BACK/BSA /0 hrs/PXL_20260827_110306442.jpg,ok,6
10,0.4 BACK/BSA /0 hrs/PXL_20260827_110330217.jpg,ok,2
11,0.4 BACK/BSA /0 hrs/PXL_20260827_110342332.jpg,ok,6
12,0.4 BACK/BSA /0 hrs/PXL_20260827_111857577.jpg,ok,4
13,0.4 BACK/BSA /0 hrs/PXL_20260827_111911378.jpg,ok,4
14,0.4 BACK/BSA /0 hrs/PXL_20260827_111922134.jpg,ok,5
15,0.4 BACK/BSA /0 hrs/PXL_20260827_111958369.jpg,ok,4
16,0.4 BACK/BSA /0 hrs/PXL_20260827_112010799.jpg,ok,3
17,0.4 BACK/BSA /0 hrs/PXL_20260827_112023671.jpg,ok,3
18,0.4 BACK/BSA /1 hr/PXL_20260827_115925184.jpg,ok,5
19,0.4 BACK/BSA /1 hr/PXL_20260827_115945016.jpg,ok,7
20,0.4 BACK/BSA /1 hr/PXL_20260827_120002840.jpg,ok,4
21,0.4 BACK/BSA /1 hr/PXL_20260827_120047147.jpg,ok,7
22,0.4 BACK/BSA /1 hr/PXL_20260827_120119038.jpg,ok,6
23,0.4 BACK/BSA /1 hr/PXL_20260827_120150138.jpg,ok,7
24,0.4 BACK/BSA /1 hr/PXL_20260827_122705761.jpg,ok,3
25,0.4 BACK/BSA /1 hr/PXL_20260827_122734968.jpg,ok,2
26,0.4 BACK/BSA /1 hr/PXL_20260827_122744189.jpg,ok,3
27,0.4 BACK/BSA /1 hr/PXL_20260827_122832842.jpg,ok,3
28,0.4 BACK/BSA /1 hr/PXL_20260827_122843086.jpg,ok,4
29,0.4 BACK/BSA /1 hr/PXL_20260827_122855242.jpg,ok,4
30,0.4 BACK/BSA /2 hrs/PXL_20260827_130009858.jpg,ok,4
31,0.4 BACK/BSA /2 hrs/PXL_20260827_130026427.jpg,ok,4
32,0.4 BACK/BSA /2 hrs/PXL_20260827_130038764.jpg,ok,5
33,0.4 BACK/BSA /2 hrs/PXL_20260827_130059098.jpg,ok,10
34,0.4 BACK/BSA /2 hrs/PXL_20260827_130150501.jpg,ok,8
35,0.4 BACK/BSA /2 hrs/PXL_20260827_130211361.jpg,ok,7
36,0.4 BACK/BSA /2 hrs/PXL_20260827_130921105.jpg,ok,3
37,0.4 BACK/BSA /2 hrs/PXL_20260827_130934442.jpg,ok,4
38,0.4 BACK/BSA /2 hrs/PXL_20260827_130947178.jpg,ok,4
39,0.4 BACK/BSA /2 hrs/PXL_20260827_131022788.jpg,ok,5
40,0.4 BACK/BSA /2 hrs/PXL_20260827_131053843.jpg,ok,6
41,0.4 BACK/BSA /2 hrs/PXL_20260827_131108317.jpg,ok,6
42,0.4 BACK/BSA /3 hrs/PXL_20260827_140036920.jpg,ok,8
43,0.4 BACK/BSA /3 hrs/PXL_20260827_140103421.jpg,ok,9
44,0.4 BACK/BSA /3 hrs/PXL_20260827_140120698.jpg,ok,5
45,0.4 BACK/BSA /3 hrs/PXL_20260827_140201460.jpg,ok,10
46,0.4 BACK/BSA /3 hrs/PXL_20260827_140221550.jpg,ok,10
47,0.4 BACK/BSA /3 hrs/PXL_20260827_140239140.jpg,ok,9
48,0.4 BACK/BSA /3 hrs/PXL_20260827_141133525.jpg,ok,7
49,0.4 BACK/BSA /3 hrs/PXL_20260827_141149845.jpg,ok,5
50,0.4 BACK/BSA /3 hrs/PXL_20260827_141205431.jpg,ok,8
51,0.4 BACK/BSA /3 hrs/PXL_20260827_141246717.jpg,ok,7
52,0.4 BACK/BSA /3 hrs/PXL_20260827_141303064.jpg,ok,7
53,0.4 BACK/BSA /3 hrs/PXL_20260827_141315863.jpg,ok,7
54,0.4 BACK/BSA /4 hrs/PXL_20260827_150005371.jpg,ok,6
55,0.4 BACK/BSA /4 hrs/PXL_20260827_150017709.jpg,ok,9
56,0.4 BACK/BSA /4 hrs/PXL_20260827_150028939.jpg,ok,5
57,0.4 BACK/BSA /4 hrs/PXL_20260827_150054406.jpg,ok,6
58,0.4 BACK/BSA /4 hrs/PXL_20260827_150105866.jpg,ok,10
59,0.4 BACK/BSA /4 hrs/PXL_20260827_150116480.jpg,ok,9
60,0.4 BACK/BSA /4 hrs/PXL_20260827_150811889.jpg,ok,11
61,0.4 BACK/BSA /4 hrs/PXL_20260827_150838625.jpg,ok,14
62,0.4 BACK/BSA /4 hrs/PXL_20260827_150920550.jpg,ok,14
63,0.4 BACK/BSA /4 hrs/PXL_20260827_151033662.jpg,ok,12
64,0.4 BACK/BSA /4 hrs/PXL_20260827_151051580.jpg,ok,12
65,0.4 BACK/BSA /4 hrs/PXL_20260827_151124234.jpg,ok,10
66,0.4 BACK/BSA /5 hrs/PXL_20260827_160008770.jpg,ok,6
67,0.4 BACK/BSA /5 hrs/PXL_20260827_160047730.jpg,ok,7
68,0.4 BACK/BSA /5 hrs/PXL_20260827_160135824.jpg,ok,5
69,0.4 BACK/BSA /5 hrs/PXL_20260827_160210863.jpg,ok,9
70,0.4 BACK/BSA /5 hrs/PXL_20260827_160230062.jpg,ok,9
71,0.4 BACK/BSA /5 hrs/PXL_20260827_160253514.jpg,ok,8
72,0.4 BACK/BSA /5 hrs/PXL_20260827_161220882.jpg,ok,12
73,0.4 BACK/BSA /5 hrs/PXL_20260827_161235718.jpg,ok,9
74,0.4 BACK/BSA /5 hrs/PXL_20260827_161250168.jpg,ok,12
75,0.4 BACK/BSA /5 hrs/PXL_20260827_161439934.jpg,ok,10
76,0.4 BACK/BSA /5 hrs/PXL_20260827_161450929.jpg,ok,11
77,0.4 BACK/BSA /5 hrs/PXL_20260827_161508070.jpg,ok,14
78,0.4 BACK/BSA /6 hrs/PXL_20260827_170007538.jpg,ok,8
79,0.4 BACK/BSA /6 hrs/PXL_20260827_170018323.jpg,ok,8
80,0.4 BACK/BSA /6 hrs/PXL_20260827_170030841.jpg,ok,7
81,0.4 BACK/BSA /6 hrs/PXL_20260827_170107004.jpg,ok,8
82,0.4 BACK/BSA /6 hrs/PXL_20260827_170125897.jpg,ok,9
83,0.4 BACK/BSA /6 hrs/PXL_20260827_170145687.jpg,ok,10
84,0.4 BACK/BSA /6 hrs/PXL_20260827_170935647.jpg,ok,15
85,0.4 BACK/BSA /6 hrs/PXL_20260827_170948030.jpg,ok,8
86,0.4 BACK/BSA /6 hrs/PXL_20260827_171001972.jpg,ok,11
87,0.4 BACK/BSA /6 hrs/PXL_20260827_171142647.jpg,ok,12
88,0.4 BACK/BSA /6 hrs/PXL_20260827_171208934.jpg,ok,11
89,0.4 BACK/BSA /6 hrs/PXL_20260827_171225691.jpg,ok,9
90,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183335799.jpg,ok,6
91,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183350966.jpg,ok,6
92,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183407031.jpg,ok,5
93,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183425721.jpg,ok,9
94,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183440589.jpg,ok,9
95,0.4 BACK/BSA /7.5 hrs/PXL_20260827_183456913.jpg,ok,10
96,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184337899.jpg,ok,10
97,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184408057.jpg,ok,10
98,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184435496.jpg,ok,14
99,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184537917.jpg,ok,12
100,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184558349.jpg,ok,11
101,0.4 BACK/BSA /7.5 hrs/PXL_20260827_184632327.jpg,ok,9
102,0.4 BACK/BSA /9 hrs/PXL_20260827_200152931.jpg,ok,7
103,0.4 BACK/BSA /9 hrs/PXL_20260827_200201908.jpg,ok,6
104,0.4 BACK/BSA /9 hrs/PXL_20260827_200214496.jpg,ok,5
105,0.4 BACK/BSA /9 hrs/PXL_20260827_200238921.jpg,ok,7
106,0.4 BACK/BSA /9 hrs/PXL_20260827_200252970.jpg,ok,8
107,0.4 BACK/BSA /9 hrs/PXL_20260827_200304333.jpg,ok,8
108,0.4 BACK/BSA /9 hrs/PXL_20260827_201024422.jpg,ok,11
109,0.4 BACK/BSA /9 hrs/PXL_20260827_201054033.jpg,ok,10
110,0.4 BACK/BSA /9 hrs/PXL_20260827_201108212.jpg,ok,11
111,0.4 BACK/BSA /9 hrs/PXL_20260827_201144268.jpg,ok,12
112,0.4 BACK/BSA /9 hrs/PXL_20260827_201201700.jpg,ok,11
113,0.4 BACK/BSA /9 hrs/PXL_20260827_201218730.jpg,ok,9
114,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213045960.jpg,ok,7
115,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213055749.jpg,ok,7
116,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213105102.jpg,ok,7
117,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213124369.jpg,ok,7
118,0.4 BACK/BSA /10.5 hrs/PXL_20260827_213138382.jpg,ok,8
