series,n_photos,n_timepoints,missing_timepoints,multi_photo_timepoints,n_flagged
0.4_BSA_COOH_control_r1,12,12,[],{},0
0.4_BSA_COOH_control_r2,12,12,[],{},0
0.4_BSA_COOH_control_r3,12,12,[],{},1
0.4_BSA_COOH_magnet_r1,13,12,[],{},0
0.4_BSA_COOH_magnet_r2,13,12,[],{},0
0.4_BSA_COOH_magnet_r3,13,12,[],{},0
0.4_BSA_PEG_control_r1,12,12,[],{},0
0.4_BSA_PEG_control_r2,12,12,[],{},1
0.4_BSA_PEG_control_r3,12,12,[],{},0
0.4_BSA_PEG_magnet_r1,13,12,[],{},0
0.4_BSA_PEG_magnet_r2,13,12,[],{},0
0.4_BSA_PEG_magnet_r3,13,12,[],{},1
0.4_non-BSA_COOH_control_r1,12,12,[],{},0
0.4_non-BSA_COOH_control_r2,12,12,[],{},0
0.4_non-BSA_COOH_control_r3,12,12,[],{},0
0.4_non-BSA_COOH_magnet_r1,13,12,[],{},0
0.4_non-BSA_COOH_magnet_r2,13,12,[],{},1
0.4_non-BSA_COOH_magnet_r3,13,12,[],{},0
0.4_non-BSA_PEG_control_r1,12,12,[],{},0
0.4_non-BSA_PEG_control_r2,12,12,[],{},0
0.4_non-BSA_PEG_control_r3,12,12,[],{},0
0.4_non-BSA_PEG_magnet_r1,13,12,[],{},1
0.4_non-BSA_PEG_magnet_r2,13,12,[],{},1
0.4_non-BSA_PEG_magnet_r3,13,12,[],{},2
0.6_BSA_COOH_control_r1,12,12,[],{},1
0.6_BSA_COOH_control_r2,12,12,[],{},7
0.6_BSA_COOH_control_r3,12,12,[],{},1
0.6_BSA_COOH_magnet_r1,12,12,[],{},2
0.6_BSA_COOH_magnet_r2,14,12,[],{},9
0.6_BSA_COOH_magnet_r3,13,12,[],{},7
0.6_BSA_PEG_control_r1,12,12,[],{},0
0.6_BSA_PEG_control_r2,12,12,[],{},0
0.6_BSA_PEG_control_r3,12,12,[],{},0
0.6_BSA_PEG_magnet_r1,13,12,[],{},2
0.6_BSA_PEG_magnet_r2,14,12,[],{},3
0.6_BSA_PEG_magnet_r3,12,12,[],{},2
0.6_non-BSA_COOH_control_r1,12,12,[],{},0
0.6_non-BSA_COOH_control_r2,12,12,[],{},7
0.6_non-BSA_COOH_control_r3,12,12,[],{},3
0.6_non-BSA_COOH_magnet_r1,13,12,[],{},0
0.6_non-BSA_COOH_magnet_r2,13,12,[],{},0
0.6_non-BSA_COOH_magnet_r3,13,12,[],{},0
0.6_non-BSA_PEG_control_r1,12,12,[],{},0
0.6_non-BSA_PEG_control_r2,12,12,[],{},3
0.6_non-BSA_PEG_control_r3,12,12,[],{},3
0.6_non-BSA_PEG_magnet_r1,13,12,[],{},0
0.6_non-BSA_PEG_magnet_r2,13,12,[],{},0
0.6_non-BSA_PEG_magnet_r3,13,12,[],{},2
