idx,series,timepoint_hr,elapsed_h,front_mm,centroid_mm,mass,magnet
15,0.4_BSA_COOH_control_r1,0.0,0.0,,,0.0,none
27,0.4_BSA_COOH_control_r1,1.0,1.1429091666666666,1.40625,1.1511775544730334,3125.314956665039,none
39,0.4_BSA_COOH_control_r1,2.0,1.840116388888889,1.4291666666666667,1.2052412829977879,3523.7644386291504,none
51,0.4_BSA_COOH_control_r1,3.0,2.8800966666666667,1.5208333333333335,1.338472789367166,3175.206916809082,none
63,0.4_BSA_COOH_control_r1,4.0,3.8431369444444443,1.40625,1.184603296608357,2742.796802520752,none
77,0.4_BSA_COOH_control_r1,5.0,4.919361388888889,1.4979166666666668,1.245435830762486,2451.4656143188477,none
87,0.4_BSA_COOH_control_r1,6.0,5.862299444444444,1.1770833333333335,1.2379404550686395,2014.816562652588,none
99,0.4_BSA_COOH_control_r1,7.5,7.427652222222222,1.4979166666666668,1.6104127520913232,2130.18692779541,none
111,0.4_BSA_COOH_control_r1,9.0,8.862749722222222,1.4979166666666668,1.5512209622952227,2318.118362426758,none
123,0.4_BSA_COOH_control_r1,10.5,10.354296388888889,1.2458333333333331,1.670953971218572,2057.249336242676,none
135,0.4_BSA_COOH_control_r1,12.0,11.7438625,1.2687499999999998,1.9379258827273618,2288.2394943237305,none
147,0.4_BSA_COOH_control_r1,21.5,21.488733611111112,1.475,1.8217166863630903,2717.9940490722656,none
16,0.4_BSA_COOH_control_r2,0.0,0.0,,,0.0,none
28,0.4_BSA_COOH_control_r2,1.0,1.1423019444444444,2.3916666666666666,1.6642739553605468,5185.1471519470215,none
40,0.4_BSA_COOH_control_r2,2.0,1.8452899999999999,1.9333333333333331,1.1997138079500327,5207.511344909668,none
52,0.4_BSA_COOH_control_r2,3.0,2.881184722222222,2.3229166666666665,1.5174848206590845,3755.215980529785,none
64,0.4_BSA_COOH_control_r2,4.0,3.844661388888889,2.4375,1.4915813048427553,5208.180282592773,none
76,0.4_BSA_COOH_control_r2,5.0,4.9111472222222226,1.9562499999999998,1.1396038416385403,4155.980415344238,none
88,0.4_BSA_COOH_control_r2,6.0,5.866148611111111,1.9104166666666669,1.0610174080180428,3608.8030853271484,none
100,0.4_BSA_COOH_control_r2,7.5,7.429875,1.9562499999999998,1.0995870833270207,3069.655605316162,none
112,0.4_BSA_COOH_control_r2,9.0,8.864139166666668,2.575,2.0429051446462836,2040.3763275146484,none
125,0.4_BSA_COOH_control_r2,10.5,10.358306944444443,1.7270833333333333,0.9632097043958037,2452.9048233032227,none
136,0.4_BSA_COOH_control_r2,12.0,11.742915,1.4291666666666667,1.2435935623102132,2064.127696990967,none
17,0.4_BSA_COOH_control_r3,0.0,0.0,,,0.0,none
29,0.4_BSA_COOH_control_r3,1.0,1.1421030555555556,1.4520833333333334,0.970566417565234,3171.11616897583,none
41,0.4_BSA_COOH_control_r3,2.0,1.845735,1.4291666666666667,1.0280591422604726,3043.0933952331543,none
53,0.4_BSA_COOH_control_r3,3.0,2.881164444444444,1.40625,1.4552914707302822,3357.211483001709,none
65,0.4_BSA_COOH_control_r3,4.0,3.850156388888889,1.3833333333333333,1.284796521869168,4250.3720626831055,none
75,0.4_BSA_COOH_control_r3,5.0,4.9045175,1.2916666666666665,1.6506157993325203,3139.4327239990234,none
89,0.4_BSA_COOH_control_r3,6.0,5.867227777777778,1.2687499999999998,1.4513255414854396,3479.075206756592,none
101,0.4_BSA_COOH_control_r3,7.5,7.435737777777778,1.2000000000000002,0.88024034700313,2311.816511154175,none
113,0.4_BSA_COOH_control_r3,9.0,8.865294166666667,1.40625,2.0925324269879506,3467.739170074463,none
124,0.4_BSA_COOH_control_r3,10.5,10.349655,1.2916666666666665,1.1923664774260339,2424.895133972168,none
137,0.4_BSA_COOH_control_r3,12.0,11.742490277777776,1.2229166666666669,1.1263619386561805,2466.4948863983154,none
149,0.4_BSA_COOH_control_r3,21.5,21.491167777777775,1.40625,3.6335896696553633,967.1699638366699,none
8,0.4_BSA_COOH_magnet_r1,0.0,0.0,,,0.0,none
9,0.4_BSA_COOH_magnet_r1,0.0,0.0098025,3.8125,6.481059687024145,676.3124389648438,present
21,0.4_BSA_COOH_magnet_r1,1.0,0.9711094444444445,2.1625,1.8091702538370473,3951.5489616394043,present
33,0.4_BSA_COOH_magnet_r1,2.0,1.9744291666666667,2.575,2.2538603852303485,3537.791191101074,present
45,0.4_BSA_COOH_magnet_r1,3.0,2.9917519444444447,2.6666666666666665,2.4361232173264944,3732.5058403015137,present
57,0.4_BSA_COOH_magnet_r1,4.0,3.9731258333333335,1.8645833333333335,4.860018404667367,6308.5711669921875,present
69,0.4_BSA_COOH_magnet_r1,5.0,4.994363888888889,0.5125,2.6819519052640395,5057.848159790039,present
81,0.4_BSA_COOH_magnet_r1,6.0,5.976625277777777,1.2000000000000002,3.4778336610283582,5134.793960571289,present
93,0.4_BSA_COOH_magnet_r1,7.5,7.531824444444444,2.277083333333333,2.2530685090291493,4421.11962890625,present
