series,n_frames,v_front_mm_h,r2_front,v_centroid_mm_h,r2_centroid,final_front_mm,final_centroid_mm
0.4_BSA_COOH_control_r1,12,-0.0014438482406284366,0.005039783618416616,0.04024320800527583,0.7055780521242084,1.475,1.8217166863630903
0.4_BSA_COOH_control_r2,11,-0.05338694844009262,0.29239479642622845,-0.018061314357062076,0.03865227452974196,1.4291666666666667,1.2435935623102132
0.4_BSA_COOH_control_r3,12,-0.003071731124316817,0.040796716573063274,0.10302177262429793,0.592003334641511,1.40625,3.6335896696553633
0.4_BSA_COOH_magnet_r1,13,0.027961571692132467,0.0465601252544291,0.09652243701614979,0.27325742548692156,2.345833333333333,3.9255040069347893
0.4_BSA_COOH_magnet_r2,13,-0.08983856661829923,0.0667733736180669,0.016359464271804396,0.007860699615688804,1.6124999999999998,4.448239909783212
0.4_BSA_COOH_magnet_r3,13,0.001969909305722937,0.0005869546205343745,-0.023887755108017713,0.0335087271332728,1.5208333333333335,3.57074801457299
0.4_BSA_PEG_control_r1,12,-0.014418529044957515,0.04747374400481241,0.023896434245797092,0.07032146272827,2.3229166666666665,2.29043536895468
0.4_BSA_PEG_control_r2,11,0.0032122537284756144,0.0018423955419030191,-0.012710386695371795,0.01703438673700519,2.689583333333333,2.6176643780183304
0.4_BSA_PEG_control_r3,12,-0.014014566423302484,0.02214908973519647,0.023217670644999758,0.05098611857770741,2.185416666666667,2.866012225432936
0.4_BSA_PEG_magnet_r1,13,0.11133237225248326,0.509309291882357,-0.03280199019065991,0.049461052537958516,3.7895833333333337,3.843317902464048
0.4_BSA_PEG_magnet_r2,13,-0.1447425090943577,0.07594236477243343,-0.13008972893350493,0.12221867394911212,1.5437500000000002,4.795521213925444
0.4_BSA_PEG_magnet_r3,13,0.05377620972627084,0.13522055026706292,-0.04504066882000271,0.24640341267849397,3.560416666666667,2.8207945326110866
0.4_non-BSA_COOH_control_r1,12,-0.07406240514401981,0.1787472423539096,-0.005367460983114912,0.00145227094930922,0.7875000000000001,3.080391081397459
0.4_non-BSA_COOH_control_r2,12,0.027610511556587898,0.8402418664131855,0.051653632526109806,0.16490356626098956,2.3229166666666665,3.1134973670326125
0.4_non-BSA_COOH_control_r3,12,0.007788588787445263,0.010826426423631852,-0.03143919101223226,0.05796059953389976,2.4145833333333333,1.5003530513060137
0.4_non-BSA_COOH_magnet_r1,13,-0.032938845066617685,0.2543198003495034,0.06013234524357062,0.3476502020813421,1.13125,4.826582055607385
0.4_non-BSA_COOH_magnet_r2,13,-0.030180987487122585,0.11659197084986606,-0.12803424245974596,0.45518351515375644,1.5666666666666669,2.6907786300606396
0.4_non-BSA_COOH_magnet_r3,13,0.13477019276554852,0.5355062063530567,-0.05961043928601118,0.31831859167245846,3.9958333333333336,5.356376256189736
0.4_non-BSA_PEG_control_r1,12,-0.07649398687721935,0.18682325504392894,0.05020804898895645,0.07713381279317921,0.8333333333333333,4.661363355733485
0.4_non-BSA_PEG_control_r2,12,0.07311883143040801,0.13521836419229616,0.1476415843273898,0.418402059308813,3.33125,4.357935409519031
0.4_non-BSA_PEG_control_r3,12,-0.036393633900461304,0.2400684491813797,-0.0310989445813454,0.29456994168016337,2.254166666666667,1.8398063994718417
0.4_non-BSA_PEG_magnet_r1,13,-0.007252895901158349,0.003711446460693324,-0.13501472241359805,0.5111064151514396,2.4145833333333333,2.2970055712733872
0.4_non-BSA_PEG_magnet_r2,13,0.002043977484064989,0.0003980124907344562,-0.019282696788630097,0.04339143194498263,1.4979166666666668,3.550115489189476
0.4_non-BSA_PEG_magnet_r3,13,-0.009241832255024932,0.790711271805874,-0.006001084778751742,0.0020611658697878843,1.1541666666666668,4.98917492832416
0.6_BSA_COOH_control_r1,12,0.01578483256226704,0.007964618240857368,0.05894829367817349,0.19828311390143671,1.5895833333333331,4.43746938484902
0.6_BSA_COOH_control_r2,12,-0.042699031950570135,0.10134961172976908,-0.035135391155875995,0.05908344480237093,1.5208333333333335,2.120478037903972
0.6_BSA_COOH_control_r3,12,-0.04232279869308648,0.07512252410589682,0.011820148187047862,0.04360524276804434,3.4916666666666663,3.589650131126531
0.6_BSA_COOH_magnet_r1,11,0.0413770652287896,0.28791358152159563,0.07096965784810054,0.5298753397323557,3.033333333333333,6.557811268233008
