day,agarose,arm,coating,series,t,front_right,front_left,front,wall_mm,front_thr15,front_thr20,front_thr25,front_thr30,front_thr35,centroid,d90,gap_mm
Day 1,0.4%,large,COOH,COOH_L1,0.0,0.0,0.0,0.0,4.333333333333334,0.0,0.0,0.0,0.0,0.0,,,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,0.5,1.0,0.0,1.0,4.333333333333334,1.0833333333333335,1.0416666666666667,1.0,0.9583333333333335,0.8958333333333335,1.3882821979436202,3.5571571554082393,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,1.0,1.2916666666666667,0.0,1.2916666666666667,4.333333333333334,1.4375000000000002,1.3750000000000002,1.2916666666666667,1.2500000000000002,1.1875000000000002,1.456639485668334,3.5462416203487637,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,1.5,1.8333333333333335,0.0,1.8333333333333335,4.333333333333334,2.291666666666667,2.0,1.8333333333333335,1.7083333333333335,1.6041666666666667,1.5729839774206062,3.462235234293755,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,2.0,2.7500000000000004,0.0,2.7500000000000004,4.333333333333334,3.958333333333334,3.8750000000000004,2.7500000000000004,2.4375000000000004,2.2500000000000004,1.7526570846275624,3.538936421257345,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,2.5,3.833333333333334,0.0,3.833333333333334,4.333333333333334,4.062500000000001,3.9375000000000004,3.833333333333334,2.854166666666667,2.541666666666667,1.9403376849103076,3.5906691318821746,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,3.0,3.916666666666667,0.0,3.916666666666667,4.333333333333334,4.270833333333334,4.041666666666667,3.916666666666667,3.770833333333334,3.041666666666667,1.9904810031876452,3.637166985118216,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,3.5,4.250000000000001,0.0,4.250000000000001,4.333333333333334,4.312500000000001,4.270833333333334,4.250000000000001,3.916666666666667,3.729166666666667,2.0702928192512733,3.714942722138189,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,4.0,4.270833333333334,0.0,4.270833333333334,4.333333333333334,3.6875000000000004,3.6875,4.270833333333334,4.250000000000001,3.895833333333334,2.140919623074404,3.768347513234575,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,4.5,4.312500000000001,0.0,4.312500000000001,4.333333333333334,4.333333333333334,4.333333333333334,4.312500000000001,4.270833333333334,4.250000000000001,2.1322619423444866,3.7850963573279013,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,5.0,4.291666666666667,0.0,4.291666666666667,4.333333333333334,3.645833333333334,3.6666666666666674,4.291666666666667,4.270833333333334,4.250000000000001,2.1471088539379033,3.7990280239004,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,5.5,4.291666666666667,0.7500000000000001,3.541666666666667,4.333333333333334,3.5000000000000004,3.520833333333334,3.541666666666667,3.5625000000000004,4.250000000000001,2.1647363671980613,3.8054257355080376,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L1,6.0,4.312500000000001,0.6458333333333334,3.6666666666666674,4.333333333333334,3.604166666666667,3.645833333333334,3.6666666666666674,3.6875,4.270833333333334,2.213061183261599,3.816562349783689,0.7291666666666667
Day 1,0.4%,large,COOH,COOH_L2,0.0,0.0,0.0,0.0,4.458333333333334,0.0,0.0,0.0,0.0,0.0,,,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,0.5,1.0,0.0,1.0,4.458333333333334,1.0833333333333335,1.0416666666666667,1.0,0.9583333333333335,0.9166666666666667,1.3196769255298186,3.682847121975847,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,1.0,1.3541666666666667,0.0,1.3541666666666667,4.458333333333334,1.5208333333333335,1.4375000000000002,1.3541666666666667,1.2916666666666667,1.2500000000000002,1.3907439759097482,3.5882681612791107,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,1.5,1.9583333333333335,0.0,1.9583333333333335,4.458333333333334,2.4375000000000004,2.1250000000000004,1.9583333333333335,1.8333333333333335,1.7500000000000002,1.5537030914137213,3.5285458129846496,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,2.0,3.0000000000000004,0.0,3.0000000000000004,4.458333333333334,4.375000000000001,4.250000000000001,3.0000000000000004,2.5625000000000004,2.3125000000000004,1.7827586723686604,3.6334495682172108,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,2.5,4.062500000000001,0.0,4.062500000000001,4.458333333333334,4.395833333333334,4.333333333333334,4.062500000000001,3.583333333333334,2.979166666666667,1.917747564201504,3.6690202761166772,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,3.0,4.395833333333334,0.0,4.395833333333334,4.458333333333334,4.458333333333334,4.416666666666667,4.395833333333334,4.104166666666667,3.9375000000000004,1.9240894246880795,3.7141986195129526,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,3.5,4.437500000000001,0.0,4.437500000000001,4.458333333333334,4.458333333333334,4.458333333333334,4.437500000000001,4.416666666666667,4.375000000000001,2.038938112063289,3.8375574210936714,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,4.0,4.458333333333334,1.0208333333333335,3.4375000000000004,4.458333333333334,3.395833333333334,3.416666666666667,3.4375000000000004,3.458333333333334,3.479166666666667,2.156945435252106,3.9216392908546314,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,4.5,4.437500000000001,0.0,4.437500000000001,4.458333333333334,4.458333333333334,4.458333333333334,4.437500000000001,4.416666666666667,4.395833333333334,2.0686081979619217,3.87548816396811,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,5.0,4.416666666666667,0.0,4.416666666666667,4.458333333333334,4.458333333333334,4.437500000000001,4.416666666666667,4.395833333333334,4.375000000000001,2.0657171477656435,3.8840129268088424,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,5.5,4.291666666666667,0.0,4.291666666666667,4.458333333333334,4.354166666666667,4.312500000000001,4.291666666666667,4.250000000000001,4.208333333333334,2.1353070592254646,3.8588187813087043,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L2,6.0,4.416666666666667,0.0,4.416666666666667,4.458333333333334,4.458333333333334,4.437500000000001,4.416666666666667,4.395833333333334,4.395833333333334,2.195563461611494,3.972694433177855,0.9166666666666667
Day 1,0.4%,large,COOH,COOH_L3,0.0,0.0,0.0,0.0,4.062500000000001,0.0,0.0,0.0,0.0,0.0,,,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,0.5,0.0,0.0,0.0,4.062500000000001,0.0,0.0,0.0,0.0,0.0,0.8364507281625763,2.9084083230607685,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,1.0,1.0416666666666667,0.0,1.0416666666666667,4.062500000000001,1.2708333333333335,1.1458333333333335,1.0416666666666667,0.9166666666666667,0.7708333333333334,1.1876045844318597,3.0497114315095812,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,1.5,1.7083333333333335,0.0,1.7083333333333335,4.062500000000001,2.2083333333333335,1.916666666666667,1.7083333333333335,1.5416666666666667,1.3750000000000002,1.4035968364283684,3.046987254614709,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,2.0,2.6458333333333335,0.0,2.6458333333333335,4.062500000000001,3.833333333333334,3.0000000000000004,2.6458333333333335,2.354166666666667,2.0625000000000004,1.4718287863178825,3.09884202180665,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,2.5,3.0208333333333335,0.0,3.0208333333333335,4.062500000000001,3.979166666666667,3.333333333333334,3.0208333333333335,2.6458333333333335,0.6041666666666667,1.606693232882584,3.2996938816409154,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,3.0,3.166666666666667,0.0,3.166666666666667,4.062500000000001,4.041666666666667,4.0,3.166666666666667,2.8750000000000004,0.6250000000000001,1.7075789239827488,3.463138097294186,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,3.5,3.979166666666667,0.0,3.979166666666667,4.062500000000001,4.062500000000001,4.020833333333334,3.979166666666667,2.8958333333333335,0.6666666666666667,1.703913858308657,3.5297118247266432,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,4.0,4.0,0.0,4.0,4.062500000000001,4.062500000000001,4.041666666666667,4.0,2.729166666666667,0.0,1.9629050601758768,3.6481334098770706,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,4.5,4.0,0.0,4.0,4.062500000000001,4.062500000000001,4.041666666666667,4.0,0.7916666666666667,0.7083333333333334,1.6863209012212008,3.5327410319450867,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,5.0,4.020833333333334,0.0,4.020833333333334,4.062500000000001,4.062500000000001,4.041666666666667,4.020833333333334,0.7916666666666667,0.7291666666666667,1.715553626459456,3.5697765239212726,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,5.5,4.020833333333334,0.0,4.020833333333334,4.062500000000001,4.062500000000001,4.041666666666667,4.020833333333334,0.8125000000000001,0.7500000000000001,1.7406236222925235,3.5861452166351655,0.8750000000000001
Day 1,0.4%,large,COOH,COOH_L3,6.0,3.958333333333334,0.0,3.958333333333334,4.062500000000001,4.020833333333334,3.979166666666667,3.958333333333334,2.3125000000000004,0.0,2.0006528757001156,3.67841830634471,0.8750000000000001
Day 1,0.4%,small,COOH,COOH_S1,0.0,0.0,0.0,0.0,4.020833333333334,0.0,0.0,0.0,0.0,0.0,,,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,0.5,0.0,0.0,0.0,4.020833333333334,0.6458333333333334,0.0,0.0,0.0,0.0,0.7206641820306973,3.002209883398113,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,1.0,0.0,0.0,0.0,4.020833333333334,0.27083333333333337,0.8958333333333335,0.0,0.0,0.0,0.8016472352144071,2.9926310405522796,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,1.5,0.0,0.7083333333333334,-0.7083333333333334,4.020833333333334,-0.27083333333333337,-0.14583333333333337,-0.7083333333333334,-0.6666666666666667,-0.6041666666666667,1.0970502649254412,3.498397933098823,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,2.0,1.3958333333333335,0.6250000000000001,0.7708333333333334,4.020833333333334,0.7500000000000001,0.7708333333333334,0.7708333333333334,0.7708333333333335,1.3333333333333335,1.1489460935272275,3.003729430909147,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,2.5,1.5000000000000002,0.0,1.5000000000000002,4.020833333333334,0.7291666666666667,1.5208333333333335,1.5000000000000002,1.4791666666666667,1.4375000000000002,1.1458842570930445,2.843341889833055,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,3.0,1.3125000000000002,0.0,1.3125000000000002,4.020833333333334,0.4375000000000001,0.7291666666666667,1.3125000000000002,1.2916666666666667,1.2708333333333335,1.2332555232743694,3.061022189170907,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,3.5,1.3125000000000002,0.6666666666666667,0.6458333333333335,4.020833333333334,0.5833333333333335,0.6041666666666667,0.6458333333333335,0.6458333333333334,0.6666666666666667,1.3059597406378942,3.0867304181682327,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,4.0,1.5416666666666667,1.0416666666666667,0.5,4.020833333333334,0.5416666666666667,0.5,0.5,0.5416666666666669,1.2291666666666667,1.382440385401216,3.160262337358925,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,4.5,1.6041666666666667,1.1041666666666667,0.5,4.020833333333334,0.916666666666667,0.5208333333333335,0.5,0.8125000000000001,1.3125000000000002,1.4212118432581173,3.1796960516882624,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,5.0,1.9583333333333335,0.6041666666666667,1.3541666666666667,4.020833333333334,2.0625,1.6250000000000002,1.3541666666666667,1.854166666666667,1.791666666666667,1.5100768716597128,3.062489367324861,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,5.5,2.0208333333333335,0.6666666666666667,1.3541666666666667,4.020833333333334,2.291666666666667,1.8333333333333335,1.3541666666666667,1.291666666666667,1.8333333333333335,1.6209031343141873,3.0977448678306563,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S1,6.0,1.8333333333333335,1.4166666666666667,0.41666666666666674,4.020833333333334,1.479166666666667,0.8750000000000002,0.41666666666666674,0.5208333333333335,1.5833333333333335,1.565629690760585,3.1729676523594104,0.7291666666666667
Day 1,0.4%,small,COOH,COOH_S2,0.0,0.0,0.0,0.0,4.250000000000001,0.0,0.0,0.0,0.0,0.0,,,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,0.5,0.0,0.0,0.0,4.250000000000001,-0.6041666666666667,0.0,0.0,0.0,0.0,0.8000805580959307,4.128858400289784,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,1.0,0.0,0.0,0.0,4.250000000000001,-0.6041666666666667,0.0,0.0,0.0,0.0,0.5920189267616616,0.658413894720728,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,1.5,0.8958333333333335,0.0,0.8958333333333335,4.250000000000001,0.9791666666666667,0.9375000000000001,0.8958333333333335,0.8333333333333335,0.7916666666666667,0.993245620273023,3.199566577217895,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,2.0,0.7916666666666667,0.0,0.7916666666666667,4.250000000000001,0.125,0.1250000000000001,0.7916666666666667,0.7708333333333334,0.7291666666666667,1.1007298133114964,3.6248278950807857,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,2.5,0.8958333333333335,0.7500000000000001,0.14583333333333337,4.250000000000001,0.16666666666666652,0.125,0.14583333333333337,0.8541666666666667,0.8333333333333335,1.330798498433797,3.676547824950225,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,3.0,0.7500000000000001,1.0208333333333335,-0.27083333333333337,4.250000000000001,-0.27083333333333337,-0.27083333333333337,-0.27083333333333337,0.6875000000000001,0.6458333333333334,1.335226928953129,3.741331188654156,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,3.5,1.1250000000000002,0.8541666666666667,0.2708333333333335,4.250000000000001,0.3125000000000001,0.27083333333333326,0.2708333333333335,1.0625000000000002,1.0,1.3877195140028136,3.6076335675961615,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,4.0,1.0,1.1041666666666667,-0.10416666666666674,4.250000000000001,0.0625,-0.0625,-0.10416666666666674,0.9583333333333335,0.8958333333333335,1.374714539426317,3.6157525496625293,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,4.5,1.3125000000000002,0.9375000000000001,0.3750000000000001,4.250000000000001,0.35416666666666674,0.5208333333333335,0.3750000000000001,1.2083333333333335,1.1458333333333335,1.4207831908893032,3.5512136726646126,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,5.0,1.6250000000000002,0.0,1.6250000000000002,4.250000000000001,1.9583333333333337,0.7916666666666667,1.6250000000000002,1.4166666666666667,1.3541666666666667,1.4315404480901455,3.41223476978152,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,5.5,1.6458333333333335,0.0,1.6458333333333335,4.250000000000001,2.895833333333334,0.916666666666667,1.6458333333333335,1.4583333333333335,1.3333333333333335,1.4995454603213145,3.4848975321425497,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S2,6.0,1.4583333333333335,1.1458333333333335,0.3125,4.250000000000001,2.6458333333333335,0.4375,0.3125,1.2708333333333335,1.1250000000000002,1.4499039109569578,3.4831101081713203,0.7083333333333334
Day 1,0.4%,small,COOH,COOH_S3,0.0,0.0,0.0,0.0,4.312500000000001,0.0,0.0,0.0,0.0,0.0,,,0.7708333333333334
Day 1,0.4%,small,COOH,COOH_S3,0.5,0.0,0.0,0.0,4.312500000000001,0.0,0.0,0.0,0.0,0.0,0.2120784406869485,0.19263152093333133,0.7708333333333334
