idx,refined,tab_found,rot_k
0,True,True,1
1,True,True,1
2,True,True,1
3,True,True,1
4,True,True,1
5,True,True,1
6,True,True,1
7,True,True,1
8,True,True,1
9,True,True,1
10,True,True,1
11,True,True,1
12,True,True,1
13,False,True,0
14,True,True,1
15,True,True,1
16,True,True,0
17,True,True,1
18,True,True,1
19,True,True,1
20,True,True,1
21,True,True,1
22,True,True,1
23,True,True,1
24,True,True,1
25,True,True,1
26,True,True,1
27,True,True,1
28,True,True,1
29,True,True,1
30,True,True,1
31,True,True,1
32,True,True,1
33,True,True,1
34,True,True,1
35,True,True,1
36,True,True,1
37,True,True,1
38,True,True,1
39,True,True,1
40,True,True,1
41,True,True,1
42,True,True,1
43,True,True,1
44,True,True,1
45,True,True,1
46,True,True,1
47,True,True,1
48,True,True,1
49,True,True,1
50,True,True,1
51,True,True,1
52,True,True,1
53,True,True,1
54,True,True,1
55,True,True,1
56,True,True,1
57,True,True,1
58,True,True,1
59,True,True,1
60,True,True,1
61,True,True,1
62,True,True,1
63,True,True,1
64,True,True,1
65,True,True,1
66,True,True,1
67,True,True,1
68,True,True,1
69,True,True,1
70,True,True,1
71,True,True,1
72,True,True,1
73,True,True,1
74,True,True,1
75,True,True,1
76,True,True,1
77,True,True,1
78,True,True,1
79,True,True,1
80,True,True,1
81,True,True,1
82,True,True,1
83,True,True,1
84,True,True,1
85,True,True,1
86,True,True,1
87,True,True,1
88,True,True,1
89,True,True,1
90,True,True,1
91,True,True,1
92,True,True,1
93,True,True,1
94,True,True,1
95,True,True,1
96,True,True,1
97,True,True,1
98,True,True,1
99,True,True,1
100,True,True,1
101,True,True,1
102,True,True,1
103,True,True,1
104,True,True,1
105,True,True,1
106,True,True,1
107,True,True,1
108,True,True,1
109,True,True,1
110,True,True,1
111,True,True,1
112,True,True,1
113,True,True,1
114,True,True,1
115,True,True,1
116,True,True,1
117,True,True,1
118,True,True,1
119,True,True,1
120,True,True,1
121,True,True,1
122,True,True,1
123,True,True,1
124,True,True,1
125,True,True,1
126,True,True,1
127,True,True,1
128,True,True,1
129,True,True,1
130,True,True,1
131,True,True,1
132,True,True,1
133,True,True,1
134,True,True,1
135,True,True,1
136,True,True,1
137,True,True,1
138,True,True,0
139,True,True,0
140,True,True,0
141,True,True,0
142,True,True,0
143,True,True,0
144,True,True,0
145,True,True,0
146,True,True,0
147,True,True,0
148,False,True,3
149,True,True,0
150,True,True,1
151,True,True,1
152,True,True,1
153,True,True,1
154,True,True,1
155,True,True,1
156,True,True,1
157,True,True,1
158,True,True,1
159,True,True,1
160,True,True,1
161,True,True,1
162,True,True,1
163,True,True,1
164,True,True,1
165,True,True,1
166,True,True,1
167,True,True,1
168,True,True,1
169,True,True,1
170,True,True,1
171,True,True,1
172,True,True,1
173,True,True,1
174,True,True,1
175,True,True,1
176,True,True,1
177,True,True,1
178,True,True,1
179,True,True,1
180,True,True,1
181,True,True,1
182,True,True,1
183,True,True,1
184,True,True,1
185,True,True,1
186,True,True,1
187,True,True,1
188,True,True,1
189,True,True,1
190,True,True,1
191,True,True,1
192,True,True,1
193,True,True,1
194,True,True,1
195,True,True,1
196,True,True,1
197,True,True,1
198,True,True,1
199,True,True,1
200,True,True,1
201,True,True,1
202,True,True,1
203,True,True,1
204,True,True,1
205,True,True,1
206,True,True,1
207,True,True,1
208,True,True,1
209,True,True,1
210,True,True,1
211,True,True,1
212,True,True,1
213,True,True,1
214,True,True,1
215,True,True,1
216,True,True,1
217,True,True,1
218,True,True,1
219,True,True,1
220,True,True,1
221,True,True,1
222,True,True,1
223,True,True,1
224,True,True,1
225,True,True,1
226,True,True,1
227,True,True,1
228,True,True,1
229,True,True,1
230,True,True,1
231,True,True,1
232,True,True,1
233,True,True,1
234,True,True,1
235,True,True,1
236,True,True,1
237,True,True,1
238,True,True,1
239,True,True,1
240,True,True,1
241,True,True,1
242,True,True,1
243,True,True,1
244,True,True,1
245,True,True,1
246,True,True,1
247,True,True,1
248,True,True,1
249,True,True,1
250,True,True,1
251,True,True,1
252,True,True,1
253,True,True,1
254,True,True,1
255,True,True,1
256,True,True,1
257,True,True,1
258,True,True,1
259,True,True,1
260,True,True,1
261,True,True,1
262,True,True,1
263,True,True,1
264,True,True,1
265,True,True,1
266,True,True,1
267,True,True,1
268,True,True,1
269,True,True,1
270,True,True,1
271,True,True,1
272,True,True,1
273,True,True,1
274,True,True,1
275,True,True,1
276,True,True,1
277,True,True,1
278,True,True,1
279,True,True,1
280,True,True,1
281,True,True,1
282,True,True,1
283,True,True,1
284,True,True,1
285,True,True,1
286,True,True,1
287,True,True,1
288,True,True,0
289,True,True,0
290,True,True,0
291,True,True,0
292,True,True,0
293,True,True,0
294,True,True,0
295,True,True,0
296,True,True,0
297,True,True,0
298,True,True,0
299,True,True,0
300,True,True,1
301,True,True,1
302,True,True,1
303,True,True,1
304,True,True,1
305,True,True,1
306,True,True,1
307,True,True,1
308,True,True,1
309,True,True,1
310,True,True,1
311,True,True,1
312,True,True,1
313,True,True,1
314,True,True,1
315,True,True,1
316,True,True,1
317,True,True,1
318,True,True,1
319,True,True,1
320,True,True,1
321,True,True,1
322,True,True,1
323,True,True,1
324,True,True,1
325,True,True,1
326,True,True,1
327,True,True,1
328,True,True,1
329,True,True,1
330,True,True,1
331,True,True,1
332,True,True,1
333,True,True,1
334,True,True,1
335,True,True,1
336,True,True,1
337,True,True,1
338,True,True,1
339,True,True,1
340,True,True,1
341,True,True,1
342,True,True,1
343,True,True,1
344,True,True,1
345,True,True,1
346,True,True,1
347,True,True,1
348,True,True,1
349,True,True,1
350,True,True,1
351,True,True,1
352,True,True,1
353,True,True,1
354,True,True,1
355,True,True,1
356,True,True,1
357,True,True,1
358,True,True,1
359,True,True,1
360,True,True,1
361,True,True,1
